# algorithm=ST r=1  n=1358
# vertex_id	core_value
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	0
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	0
50	0
51	0
52	0
53	1
54	1
55	1
56	1
57	0
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	0
67	4
68	4
69	4
70	4
71	4
72	1
73	4
74	4
75	4
76	4
77	1
78	4
79	4
80	1
81	2
82	4
83	4
84	1
85	4
86	4
87	4
88	4
89	1
90	4
91	4
92	4
93	2
94	4
95	4
96	1
97	4
98	4
99	2
100	4
101	1
102	4
103	4
104	4
105	1
106	4
107	4
108	4
109	1
110	4
111	4
112	4
113	1
114	1
115	1
116	1
117	4
118	4
119	4
120	4
121	2
122	4
123	4
124	4
125	4
126	1
127	10
128	10
129	0
130	10
131	10
132	10
133	10
134	1
135	5
136	7
137	10
138	5
139	10
140	5
141	10
142	10
143	5
144	10
145	10
146	4
147	10
148	7
149	10
150	10
151	10
152	10
153	10
154	10
155	10
156	10
157	5
158	10
159	2
160	10
161	10
162	1
163	2
164	10
165	4
166	10
167	10
168	10
169	4
170	10
171	2
172	5
173	10
174	10
175	10
176	1
177	5
178	1
179	5
180	4
181	1
182	10
183	10
184	10
185	10
186	10
187	10
188	10
189	4
190	10
191	10
192	10
193	10
194	1
195	10
196	4
197	4
198	4
199	10
200	10
201	4
202	3
203	20
204	13
205	20
206	7
207	20
208	1
209	20
210	10
211	11
212	20
213	20
214	8
215	20
216	20
217	20
218	12
219	10
220	20
221	20
222	8
223	10
224	3
225	10
226	10
227	20
228	20
229	20
230	20
231	20
232	4
233	13
234	10
235	1
236	1
237	5
238	1
239	7
240	4
241	4
242	1
243	10
244	20
245	20
246	10
247	10
248	5
249	10
250	10
251	20
252	5
253	4
254	20
255	10
256	20
257	20
258	10
259	10
260	4
261	4
262	10
263	20
264	20
265	1
266	12
267	35
268	35
269	35
270	12
271	3
272	35
273	35
274	25
275	35
276	35
277	35
278	20
279	35
280	26
281	35
282	12
283	10
284	12
285	26
286	35
287	5
288	12
289	16
290	35
291	30
292	35
293	14
294	20
295	35
296	26
297	10
298	12
299	35
300	35
301	5
302	30
303	21
304	2
305	23
306	23
307	1
308	20
309	3
310	21
311	35
312	26
313	13
314	26
315	16
316	35
317	20
318	35
319	35
320	35
321	35
322	35
323	35
324	5
325	16
326	30
327	20
328	35
329	35
330	36
331	29
332	29
333	50
334	7
335	46
336	7
337	22
338	56
339	3
340	14
341	41
342	13
343	26
344	56
345	56
346	56
347	45
348	56
349	16
350	36
351	7
352	56
353	56
354	6
355	17
356	17
357	36
358	5
359	5
360	21
361	45
362	17
363	19
364	56
365	20
366	9
367	4
368	11
369	23
370	56
371	13
372	12
373	7
374	23
375	36
376	5
377	35
378	16
379	10
380	20
381	36
382	12
383	26
384	26
385	56
386	56
387	6
388	45
389	45
390	56
391	12
392	15
393	16
394	32
395	26
396	56
397	56
398	25
399	29
400	56
401	5
402	21
403	19
404	15
405	84
406	84
407	48
408	84
409	22
410	24
411	6
412	84
413	26
414	7
415	84
416	14
417	27
418	21
419	12
420	21
421	12
422	36
423	35
424	50
425	84
426	84
427	84
428	35
429	41
430	19
431	14
432	16
433	56
434	21
435	20
436	16
437	35
438	35
439	18
440	14
441	31
442	56
443	35
444	12
445	35
446	10
447	84
448	84
449	84
450	84
451	15
452	35
453	35
454	21
455	29
456	84
457	50
458	21
459	21
460	19
461	35
462	13
463	18
464	84
465	84
466	36
467	120
468	10
469	47
470	46
471	20
472	120
473	35
474	45
475	34
476	120
477	27
478	10
479	31
480	22
481	120
482	92
483	120
484	45
485	20
486	11
487	12
488	32
489	41
490	71
491	71
492	120
493	53
494	120
495	11
496	120
497	3
498	36
499	6
500	120
501	36
502	120
503	45
504	6
505	25
506	57
507	11
508	45
509	15
510	120
511	41
512	14
513	12
514	120
515	11
516	22
517	120
518	120
519	37
520	41
521	71
522	120
523	45
524	59
525	45
526	30
