u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
18089,18091,0,0,296,6921,1,4131,1,42626.0,
3023,7561,0,0,0,0,0,0,0,1.0,
74381,263494,0,0,0,0,0,0,0,1.0,
61003,237153,0,0,5,51,1,34,4,38383.0,
51710,122506,0,0,4,43,1,36,3,25944.0,
25192,25196,0,0,5,27,1,10,4,14136.0,
16109,116393,0,0,0,0,0,0,0,2.0,
13652,83724,0,0,5,89,1,58,4,51750.0,
189995,190004,0,0,9,25,1,12,9,262.0,
3962,3964,0,0,6,32,1,28,4,23713.0,
3623,53382,0,0,6,60,1,32,5,23188.0,
14335,14338,0,0,6,8,1,6,6,174.0,
50063,199179,0,1,19818,0,1,0,0,19045.0,
55684,162670,0,0,0,0,0,0,0,0.0,
3297,42533,0,0,7,384,1,301,1,35156.0,
43181,121423,0,0,10,54,1,12,10,150.0,
187125,190693,0,0,3,18,1,17,2,127.0,
50768,50770,0,0,7,76,1,15,6,105.0,
224786,224788,0,0,5,7,1,7,5,71.0,
75830,82881,0,0,7,211,1,98,3,38346.0,
888,26366,0,0,4,107,1,89,2,10066.0,
30531,202499,0,0,8,33,1,18,7,165.0,
190812,190813,0,0,4,6,1,7,4,18087.0,
114078,195985,0,0,0,0,0,0,0,1.0,
75689,171705,0,0,2,55,1,40,1,43434.0,
29330,180912,0,0,33,78,1,33,33,393.0,
48830,239566,0,0,0,0,0,0,0,1.0,
111754,265778,0,0,5,49,1,34,1,179.0,
16042,195828,0,0,124,3154,1,2937,1,41029.0,
14161,17948,0,0,108,3140,1,2432,2,39829.0,
145612,145614,0,0,5,1,1,6,5,349.0,
14963,35824,0,0,7,180,1,75,5,14462.0,
128293,199571,0,0,7,57,1,36,5,47018.0,
116862,153215,0,0,3,20,1,12,1,12427.0,
69584,164497,0,0,5,41,1,19,3,32556.0,
5766,5796,4,1,19818,0,1,0,0,22669.0,
240675,240677,0,0,2,10,1,8,1,42556.0,
21431,146943,0,0,4,61,1,47,3,21706.0,
144380,294074,0,0,4,18,1,13,3,2479.0,
11717,61788,0,0,0,0,0,0,0,1.0,
83994,84035,0,0,2,23,1,16,1,21848.0,
130350,130352,0,0,14,183,1,99,13,19257.0,
40879,40882,0,0,2,2,1,2,2,36420.0,
9975,14389,0,0,15,101,1,44,14,16937.0,
6061,10867,0,0,529,10656,1,5206,1,39692.0,
53402,88885,0,0,208,6067,1,3937,5,41830.0,
81996,81997,0,0,14,67,1,16,14,240.0,
11940,11957,0,0,14,235,1,89,6,13867.0,
55751,234213,0,0,252,6097,1,2502,16,32088.0,
15782,178641,0,0,3,17,1,16,2,125.0,
145821,205014,0,0,6,84,1,30,4,28646.0,
75740,75741,0,0,3,29,1,10,1,33612.0,
230744,230745,0,0,4,5,1,6,4,94.0,
132762,205833,0,0,8,114,1,95,2,2488.0,
31409,114690,0,0,2,24,1,18,1,13805.0,
