graph,s,algo,total_time_ms,peak_rss_kb,load_ms,build_ms,peel_ms
com-youtube,3,ours,6470.55,390632,2081.34,3863.02,440.13
com-youtube,3,ref,6822.17,746696,1812.24,3982.28,789.72
com-youtube,5,ours,6104.02,322772,2028.13,3729.83,273.49
com-youtube,5,ref,6292.36,657564,1732.05,3794.99,581.61
com-youtube,8,ours,5115.13,191992,1966.92,2991.16,86.28
com-youtube,8,ref,5072.01,471064,1638.34,3052.98,270.24
com-youtube,12,ours,4472.62,121520,1689.30,2700.94,13.04
com-youtube,12,ref,4515.49,394552,1639.63,2648.88,148.45
com-youtube,16,ours,4175.24,116832,1639.70,2458.40,8.23
com-youtube,16,ref,4670.24,389088,1964.39,2488.12,131.78
web-Stanford,3,ours,8277.82,346572,1251.14,6602.36,381.58
web-Stanford,3,ref,8475.17,520440,1249.53,6548.08,521.54
web-Stanford,5,ours,8088.49,341408,1230.95,6491.23,323.66
web-Stanford,5,ref,8690.07,505884,1556.82,6474.46,519.27
web-Stanford,10,ours,6982.72,180316,975.39,5839.90,130.35
web-Stanford,10,ref,7463.11,267320,1225.47,5960.69,210.07
web-Stanford,20,ours,6545.43,99708,998.76,5481.90,28.90
web-Stanford,20,ref,6938.83,154784,1228.00,5591.16,77.80
web-Stanford,40,ours,6356.70,71316,1224.44,5087.29,9.63
web-Stanford,40,ref,6130.24,131636,1034.45,5007.43,49.58
web-Stanford,60,ours,6160.18,54208,1223.73,4900.08,1.36
web-Stanford,60,ref,6201.79,113316,1223.94,4906.61,31.25
web-it-2004,3,ours,127906.86,435084,3389.00,124074.00,351.01
web-it-2004,3,ref,129368.39,569720,3378.19,125347.32,465.88
web-it-2004,10,ours,128232.04,366576,3397.98,124472.00,274.30
web-it-2004,10,ref,131625.99,487192,3419.43,127678.44,390.20
web-it-2004,30,ours,126073.02,236080,3371.52,122558.00,63.94
web-it-2004,30,ref,125989.51,322308,3037.48,122688.51,173.71
web-it-2004,100,ours,125421.54,211788,3407.34,121891.00,40.13
web-it-2004,100,ref,124972.26,302992,3377.37,121371.70,135.85
web-it-2004,200,ours,117350.23,182572,3416.21,113825.00,26.08
web-it-2004,200,ref,111117.66,279672,3406.13,107516.25,108.45
web-it-2004,400,ours,11345.32,142524,3408.61,7849.58,4.60
web-it-2004,400,ref,11363.97,232376,3368.32,7846.90,62.74
