graph,s,algo,phase,n_runs,time_ms,rss_kb,delta_rss_kb,component_bytes
com-youtube,3,ours,loadAndSort,3,2081.340,112164,110028,0
com-youtube,3,ours,buildSDCT,3,3863.020,366464,254292,39375120
com-youtube,3,ours,preMutation,3,0.687,366464,0,0
com-youtube,3,ours,prepareGraph,3,85.369,378500,12036,0
com-youtube,3,ours,dispatch_total,3,440.133,390632,12132,0
com-youtube,3,ref,loadAndSort,3,1812.240,112160,109920,0
com-youtube,3,ref,buildSDCT,3,3864.910,428284,316124,39375120
com-youtube,3,ref,preMutation,3,0.682,428284,0,0
com-youtube,3,ref,prepareGraph,3,71.350,408980,-19304,0
com-youtube,3,ref,REF_initSupports,3,54.258,408980,0,9079128
com-youtube,3,ref,REF_heapBuild,3,63.108,514640,105660,90839600
com-youtube,3,ref,REF_peel_loop,3,789.716,746696,232056,0
com-youtube,3,ref,dispatch_total,3,165.900,695584,-51112,0
com-youtube,5,ours,loadAndSort,3,2028.130,112096,109896,0
com-youtube,5,ours,buildSDCT,3,3729.830,322772,210676,25855560
com-youtube,5,ours,preMutation,3,0.727,322772,0,0
com-youtube,5,ours,prepareGraph,3,71.843,303232,-19540,0
com-youtube,5,ours,dispatch_total,3,273.493,316436,13204,0
com-youtube,5,ref,loadAndSort,3,1732.050,112124,110000,0
com-youtube,5,ref,buildSDCT,3,3684.090,384744,272564,25855560
com-youtube,5,ref,preMutation,3,0.687,384744,0,0
com-youtube,5,ref,prepareGraph,3,70.149,365256,-19424,0
com-youtube,5,ref,REF_initSupports,3,54.140,365256,0,9079128
com-youtube,5,ref,REF_heapBuild,3,56.763,457188,91872,70560260
com-youtube,5,ref,REF_peel_loop,3,581.608,657564,200376,0
com-youtube,5,ref,dispatch_total,3,112.872,624120,-33448,0
com-youtube,8,ours,loadAndSort,3,1966.920,112016,109840,0
com-youtube,8,ours,buildSDCT,3,2991.160,188504,76484,7078296
com-youtube,8,ours,preMutation,3,0.563,188504,0,0
com-youtube,8,ours,prepareGraph,3,70.206,168964,-19540,0
com-youtube,8,ours,dispatch_total,3,86.280,191992,23028,0
