meta	phase	duration_ms	rss_kb	delta_rss_kb	component_bytes
graph=com-youtube,r=1,s=3,algo=ours,run=0	loadAndSort	2085.26	112108	109936	0
graph=com-youtube,r=1,s=3,algo=ours,run=0	buildSDCT	3911.29	366464	254356	39375120
graph=com-youtube,r=1,s=3,algo=ours,run=0	preMutation	0.687314	366464	0	0
graph=com-youtube,r=1,s=3,algo=ours,run=0	prepareGraph	87.7379	378500	12036	0
graph=com-youtube,r=1,s=3,algo=ours,run=0	dispatch_total	444.828	390632	12132	0
graph=com-youtube,r=1,s=3,algo=ours,run=1	loadAndSort	2081.34	112240	110064	0
graph=com-youtube,r=1,s=3,algo=ours,run=1	buildSDCT	3863.02	366472	254232	39375120
graph=com-youtube,r=1,s=3,algo=ours,run=1	preMutation	0.687072	366472	0	0
graph=com-youtube,r=1,s=3,algo=ours,run=1	prepareGraph	85.3694	378508	12036	0
graph=com-youtube,r=1,s=3,algo=ours,run=1	dispatch_total	440.133	390640	12132	0
graph=com-youtube,r=1,s=3,algo=ours,run=2	loadAndSort	1734.82	112164	110028	0
graph=com-youtube,r=1,s=3,algo=ours,run=2	buildSDCT	3858.49	366456	254292	39375120
graph=com-youtube,r=1,s=3,algo=ours,run=2	preMutation	0.679946	366456	0	0
graph=com-youtube,r=1,s=3,algo=ours,run=2	prepareGraph	85.099	378492	12036	0
graph=com-youtube,r=1,s=3,algo=ours,run=2	dispatch_total	439.355	390560	12068	0
graph=com-youtube,r=1,s=3,algo=ref,run=0	loadAndSort	1754.82	112160	109920	0
graph=com-youtube,r=1,s=3,algo=ref,run=0	buildSDCT	3864.91	428284	316124	39375120
graph=com-youtube,r=1,s=3,algo=ref,run=0	preMutation	0.682418	428284	0	0
graph=com-youtube,r=1,s=3,algo=ref,run=0	prepareGraph	72.2107	408980	-19304	0
graph=com-youtube,r=1,s=3,algo=ref,run=0	REF_initSupports	54.2845	408980	0	9079128
graph=com-youtube,r=1,s=3,algo=ref,run=0	REF_heapBuild	63.1084	514640	105660	90839600
graph=com-youtube,r=1,s=3,algo=ref,run=0	REF_peel_loop	796.406	746696	232056	0
graph=com-youtube,r=1,s=3,algo=ref,run=0	dispatch_total	166.725	695584	-51112	0
graph=com-youtube,r=1,s=3,algo=ref,run=1	loadAndSort	2537.68	112196	110072	0
graph=com-youtube,r=1,s=3,algo=ref,run=1	buildSDCT	3817.5	428320	316124	39375120
graph=com-youtube,r=1,s=3,algo=ref,run=1	preMutation	0.668236	428320	0	0
graph=com-youtube,r=1,s=3,algo=ref,run=1	prepareGraph	71.3502	409016	-19304	0
graph=com-youtube,r=1,s=3,algo=ref,run=1	REF_initSupports	54.023	409016	0	9079128
graph=com-youtube,r=1,s=3,algo=ref,run=1	REF_heapBuild	62.904	514676	105660	90839600
graph=com-youtube,r=1,s=3,algo=ref,run=1	REF_peel_loop	789.716	746732	232056	0
graph=com-youtube,r=1,s=3,algo=ref,run=1	dispatch_total	164.49	695620	-51112	0
graph=com-youtube,r=1,s=3,algo=ref,run=2	loadAndSort	1812.24	111888	109724	0
graph=com-youtube,r=1,s=3,algo=ref,run=2	buildSDCT	4054.4	428072	316184	39375120
graph=com-youtube,r=1,s=3,algo=ref,run=2	preMutation	0.689471	428072	0	0
graph=com-youtube,r=1,s=3,algo=ref,run=2	prepareGraph	70.7393	408836	-19236	0
graph=com-youtube,r=1,s=3,algo=ref,run=2	REF_initSupports	54.2585	408836	0	9079128
graph=com-youtube,r=1,s=3,algo=ref,run=2	REF_heapBuild	65.0163	514436	105600	90839600
graph=com-youtube,r=1,s=3,algo=ref,run=2	REF_peel_loop	787.623	746492	232056	0
graph=com-youtube,r=1,s=3,algo=ref,run=2	dispatch_total	165.9	695376	-51116	0
graph=com-youtube,r=1,s=5,algo=ours,run=0	loadAndSort	2028.13	112132	109896	0
graph=com-youtube,r=1,s=5,algo=ours,run=0	buildSDCT	3711.41	322808	210676	25855560
graph=com-youtube,r=1,s=5,algo=ours,run=0	preMutation	0.723521	322808	0	0
graph=com-youtube,r=1,s=5,algo=ours,run=0	prepareGraph	71.3009	303268	-19540	0
graph=com-youtube,r=1,s=5,algo=ours,run=0	dispatch_total	273.296	316472	13204	0
graph=com-youtube,r=1,s=5,algo=ours,run=1	loadAndSort	1756.78	112056	109848	0
graph=com-youtube,r=1,s=5,algo=ours,run=1	buildSDCT	3731.44	322608	210552	25855560
graph=com-youtube,r=1,s=5,algo=ours,run=1	preMutation	0.740685	322608	0	0
graph=com-youtube,r=1,s=5,algo=ours,run=1	prepareGraph	71.8427	303068	-19540	0
graph=com-youtube,r=1,s=5,algo=ours,run=1	dispatch_total	273.493	316272	13204	0
graph=com-youtube,r=1,s=5,algo=ours,run=2	loadAndSort	2065.93	112096	109908	0
graph=com-youtube,r=1,s=5,algo=ours,run=2	buildSDCT	3729.83	322772	210676	25855560
graph=com-youtube,r=1,s=5,algo=ours,run=2	preMutation	0.726622	322772	0	0
graph=com-youtube,r=1,s=5,algo=ours,run=2	prepareGraph	73.4852	303232	-19540	0
graph=com-youtube,r=1,s=5,algo=ours,run=2	dispatch_total	276.863	316436	13204	0
graph=com-youtube,r=1,s=5,algo=ref,run=0	loadAndSort	1732.05	112180	110008	0
graph=com-youtube,r=1,s=5,algo=ref,run=0	buildSDCT	3728.05	384744	272564	25855560
graph=com-youtube,r=1,s=5,algo=ref,run=0	preMutation	0.689672	384744	0	0
graph=com-youtube,r=1,s=5,algo=ref,run=0	prepareGraph	70.3019	365256	-19488	0
graph=com-youtube,r=1,s=5,algo=ref,run=0	REF_initSupports	54.1399	365256	0	9079128
graph=com-youtube,r=1,s=5,algo=ref,run=0	REF_heapBuild	56.8297	457188	91932	70560260
graph=com-youtube,r=1,s=5,algo=ref,run=0	REF_peel_loop	578.815	657564	200376	0
graph=com-youtube,r=1,s=5,algo=ref,run=0	dispatch_total	113.967	624120	-33444	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	loadAndSort	2012.4	111892	109736	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	buildSDCT	3684.09	384456	272564	25855560
graph=com-youtube,r=1,s=5,algo=ref,run=1	preMutation	0.668905	384456	0	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	prepareGraph	69.3679	365032	-19424	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	REF_initSupports	53.9648	365032	0	9079128
graph=com-youtube,r=1,s=5,algo=ref,run=1	REF_heapBuild	56.6256	456904	91872	70560260
graph=com-youtube,r=1,s=5,algo=ref,run=1	REF_peel_loop	582.64	657280	200376	0
graph=com-youtube,r=1,s=5,algo=ref,run=1	dispatch_total	110.78	623832	-33448	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	loadAndSort	1728.4	112124	110000	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	buildSDCT	3681.24	384748	272624	25855560
graph=com-youtube,r=1,s=5,algo=ref,run=2	preMutation	0.686843	384748	0	0
graph=com-youtube,r=1,s=5,algo=ref,run=2	prepareGraph	70.1488	365328	-19420	0
