graph,s,REF_ms,ST_ms,Speedup,REF_MB,ST_MB,MemRedux
com-youtube,3,1197.4,434.3,2.76x,685,392,1.75x
com-youtube,5,838.4,296.1,2.83x,609,309,1.97x
com-youtube,10,248.8,30.3,8.22x,233,126,1.85x
com-youtube,17,195.9,8.7,22.57x,155,103,1.50x
web-Stanford,3,746.0,385.4,1.94x,470,340,1.38x
web-Stanford,5,702.5,343.3,2.05x,464,333,1.39x
web-Stanford,10,287.1,132.5,2.17x,261,176,1.48x
web-Stanford,20,100.1,29.4,3.41x,109,97,1.12x
web-Stanford,50,51.5,5.3,9.64x,76,61,1.25x
web-Stanford,61,54.6,1.4,39.41x,68,52,1.32x
web-it-2004,3,682.2,371.5,1.84x,558,425,1.31x
web-it-2004,5,688.7,322.0,2.14x,526,404,1.30x
web-it-2004,10,603.4,280.6,2.15x,476,359,1.32x
web-it-2004,20,240.2,91.6,2.62x,256,248,1.03x
web-it-2004,50,191.0,55.7,3.43x,233,220,1.06x
web-it-2004,100,205.3,40.9,5.02x,222,207,1.07x
web-it-2004,200,133.8,25.9,5.16x,199,178,1.12x
web-it-2004,400,109.0,7.7,14.17x,157,129,1.21x
web-it-2004,430,78.6,4.1,19.27x,157,130,1.21x
