s,nonzero_count,pct_of_graph,max_core,top100_min,top1K_min
2,317080,100.00%,1.130e+02,1.130e+02,3.100e+01
3,269181,84.89%,6.328e+03,6.328e+03,4.650e+02
4,194957,61.49%,2.341e+05,2.341e+05,4.495e+03
5,127805,40.31%,6.439e+06,6.439e+06,3.146e+04
8,36412,11.48%,3.862e+10,3.862e+10,2.630e+06
10,19354,6.10%,5.970e+12,5.970e+12,2.016e+07
15,6767,2.13%,2.742e+17,2.742e+17,2.652e+08
20,3396,1.07%,1.687e+21,1.687e+21,1.411e+08
25,2069,0.65%,2.178e+24,2.178e+24,2.630e+06
30,1358,0.43%,7.614e+26,7.614e+26,4.650e+02
