method,s,top_size,prec@K,best_F1,best_recall,rec@50%,rec@70%
"(1,2)-core",2,10000,0.5041,0.1665923614207163,1.0,94,80
"(1,3)-core",3,10000,0.5229,0.17372566503195125,1.0,114,100
"(1,4)-core",4,10000,0.5231,0.1728340020805469,1.0,115,100
"(1,5)-core",5,10000,0.523,0.17253678109674545,1.0,114,100
"(1,8)-core",8,10000,0.5231,0.17268539158864615,1.0,114,100
"(1,10)-core",10,10000,0.5232,0.17268539158864615,1.0,114,100
"(1,15)-core",15,6767,0.5478055268213389,0.18836185819070905,1.0,65,58
"(1,20)-core",20,3396,0.5200235571260307,0.18354245695943974,1.0,15,12
"(1,25)-core",25,2069,0.5190913484775254,0.14582956395874797,1.0,7,6
"(1,30)-core",30,1358,0.5066273932253313,0.08928571428571429,1.0,4,3
k-core,-1,10000,0.5041,0.1665923614207163,1.0,94,80
