method,K,top_size,edges,density,triangles,tri_per_v
"(1,2)-core",100,100,4950,1.0,161700,1617.0
"(1,3)-core",100,100,4950,1.0,161700,1617.0
"(1,5)-core",100,100,4950,1.0,161700,1617.0
"(1,10)-core",100,100,4950,1.0,161700,1617.0
"(1,20)-core",100,100,4950,1.0,161700,1617.0
"(1,30)-core",100,100,4950,1.0,161700,1617.0
k-core,100,100,4950,1.0,161700,1617.0
"(1,2)-core",500,500,18758,0.15036472945891782,533617,1067.234
"(1,3)-core",500,500,18719,0.15005210420841683,532759,1065.518
"(1,5)-core",500,500,18750,0.15030060120240482,533598,1067.196
"(1,10)-core",500,500,18826,0.15090981963927855,535338,1070.676
"(1,20)-core",500,500,18711,0.1499879759519038,532740,1065.48
"(1,30)-core",500,500,18690,0.14981963927855713,532272,1064.544
k-core,500,500,18758,0.15036472945891782,533617,1067.234
"(1,2)-core",1000,1000,28152,0.05636036036036036,649185,649.185
"(1,3)-core",1000,1000,28204,0.056464464464464466,649867,649.867
"(1,5)-core",1000,1000,28153,0.05636236236236236,649183,649.183
"(1,10)-core",1000,1000,28141,0.05633833833833834,648979,648.979
"(1,20)-core",1000,1000,28136,0.05632832832832833,648889,648.889
"(1,30)-core",1000,1000,28173,0.0564024024024024,649523,649.523
k-core,1000,1000,28152,0.05636036036036036,649185,649.185
"(1,2)-core",2000,2000,43013,0.021517258629314657,782525,391.2625
"(1,3)-core",2000,2000,43013,0.021517258629314657,782577,391.2885
"(1,5)-core",2000,2000,43000,0.021510755377688845,782611,391.3055
"(1,10)-core",2000,2000,42988,0.021504752376188093,782246,391.123
"(1,20)-core",2000,2000,42973,0.021497248624312158,781974,390.987
"(1,30)-core",2000,1358,34279,0.037203047960555805,710351,523.0861561119293
k-core,2000,2000,43013,0.021517258629314657,782525,391.2625
"(1,2)-core",5000,5000,74335,0.0059479895979195835,971386,194.2772
"(1,3)-core",5000,5000,74113,0.005930226045209042,970573,194.1146
"(1,5)-core",5000,5000,74092,0.005928545709141828,970385,194.077
"(1,10)-core",5000,5000,74020,0.005922784556911382,969874,193.9748
"(1,20)-core",5000,3396,59618,0.010341890572118978,895978,263.8333333333333
"(1,30)-core",5000,1358,34279,0.037203047960555805,710351,523.0861561119293
k-core,5000,5000,74335,0.0059479895979195835,971386,194.2772
"(1,2)-core",10000,10000,116868,0.002337593759375938,1122579,112.2579
"(1,3)-core",10000,10000,114604,0.0022923092309230925,1136327,113.6327
"(1,5)-core",10000,10000,114246,0.002285148514851485,1134786,113.4786
"(1,10)-core",10000,10000,114077,0.0022817681768176816,1134058,113.4058
"(1,20)-core",10000,3396,59618,0.010341890572118978,895978,263.8333333333333
"(1,30)-core",10000,1358,34279,0.037203047960555805,710351,523.0861561119293
k-core,10000,10000,116868,0.002337593759375938,1122579,112.2579
