method,K,top_size,prec,rec50,density,tri_per_v,time_ms
k-core,100,100,0.15,1,1.0,1617.0,n/a
"(1,10)-core",100,100,0.15,1,1.0,1617.0,13.4
"(2,10)-core",100,100,0.22,0,0.49616161616161614,393.97,123.1
"(3,10)-core",100,100,0.15,1,1.0,1617.0,2379.6
k-core,500,500,0.408,2,0.15036472945891782,1067.234,n/a
"(1,10)-core",500,500,0.416,2,0.15090981963927855,1070.676,13.4
"(2,10)-core",500,500,0.602,0,0.08559519038076152,302.546,123.1
"(3,10)-core",500,500,0.416,2,0.15090981963927855,1070.676,2379.6
k-core,1000,1000,0.545,4,0.05636036036036036,649.185,n/a
"(1,10)-core",1000,1000,0.542,4,0.05633833833833834,648.979,13.4
"(2,10)-core",1000,1000,0.575,3,0.03804004004004004,240.437,123.1
"(3,10)-core",1000,1000,0.542,4,0.05633833833833834,648.979,2379.6
k-core,2000,2000,0.515,6,0.021517258629314657,391.2625,n/a
"(1,10)-core",2000,2000,0.5195,7,0.021504752376188093,391.123,13.4
"(2,10)-core",2000,2000,0.5495,6,0.016958979489744872,188.8115,123.1
"(3,10)-core",2000,2000,0.5195,7,0.021504752376188093,391.123,2379.6
k-core,5000,5000,0.5384,35,0.0059479895979195835,194.2772,n/a
"(1,10)-core",5000,5000,0.5348,35,0.005922784556911382,193.9748,13.4
"(2,10)-core",5000,5000,0.552,38,0.005077895579115823,110.1474,123.1
"(3,10)-core",5000,5000,0.535,35,0.0059233446689337865,193.9886,2379.6
k-core,10000,10000,0.5041,94,0.002337593759375938,112.2579,n/a
"(1,10)-core",10000,10000,0.5232,114,0.0022817681768176816,113.4058,13.4
"(2,10)-core",10000,10000,0.529,113,0.0020665066506650666,71.7638,123.1
"(3,10)-core",10000,10000,0.5238,114,0.0022815881588158816,113.3977,2379.6
