r,s,top,prec,rec50,density,tri_per_v,bf1_top10,runtime_ms
1,5,10000,0.523,114,0.002285148514851485,113.4786,0.10446556821405781,83.4
1,10,10000,0.5232,114,0.0022817681768176816,113.4058,0.10162985003148006,13.8
1,15,6767,0.5478055268213389,65,0.003921414284629101,154.03058962612678,0.09964454368852527,6.2
1,20,3396,0.5200235571260307,15,0.010341890572118978,263.8333333333333,0.09655922104834398,6.0
2,5,10000,0.5233,114,0.0022814881488148813,113.4004,0.10440465320896417,373.7
2,10,10000,0.529,113,0.0020665066506650666,71.7638,0.11293442629752573,90.0
2,15,6266,0.5569741461857645,64,0.0035533997053735574,78.06782636450686,0.10505174751160881,161.8
2,20,2762,0.5271542360608255,14,0.009666029450757303,110.79471397538016,0.15443136490778345,102.9
3,5,10000,0.5229,114,0.0022814881488148813,113.3981,0.10440309697220629,1915.9
3,10,10000,0.5238,114,0.0022815881588158816,113.3977,0.10163008235217275,1797.7
3,15,6767,0.5478055268213389,65,0.003921414284629101,154.03058962612678,0.09964454368852527,1505.1
3,20,3396,0.5200235571260307,15,0.010341890572118978,263.8333333333333,0.09655922104834398,30756.9
