method,top,prec,rec50,rec70,density,tri_per_v,runtime_ms
k-core,10000,0.4177,270,42,0.007317191719171917,171.2345,n/a
"(r=1,s=5)",10000,0.4231,283,63,0.00624032403240324,173.2911,273.6
"(r=1,s=10)",1909,0.5783132530120482,49,9,0.03511777490053185,292.70246202200104,30.8
"(r=1,s=15)",95,0.6842105263157895,0,0,0.42687569988801793,173.42105263157896,8.9
"(r=2,s=5)",10000,0.4206,286,68,0.005651125112511251,161.2656,2579.9
"(r=2,s=10)",1909,0.5783132530120482,49,9,0.03511777490053185,292.70246202200104,318.5
"(r=2,s=15)",95,0.6842105263157895,0,0,0.42687569988801793,173.42105263157896,55.3
"(r=3,s=5)",10000,0.4214,288,72,0.005591999199919992,159.4648,13111.6
"(r=3,s=10)",1909,0.5783132530120482,49,9,0.03511777490053185,292.70246202200104,2093.4
"(r=3,s=15)",95,0.6842105263157895,0,0,0.42687569988801793,173.42105263157896,87.3
