method,k,verts,ccs
s=2,1.0,317080,-1
s=2,2.0,271646,-1
s=2,3.0,204031,-1
s=2,4.0,143129,-1
s=2,5.0,98942,177
s=2,6.0,68070,161
s=2,7.0,47446,115
s=2,8.0,33875,90
s=2,9.0,24619,78
s=2,10.0,17849,60
s=2,11.0,13678,55
s=2,13.0,8774,30
s=2,14.0,7097,22
s=2,16.0,4777,24
s=2,18.0,3675,17
s=2,21.0,2727,15
s=2,23.0,2223,13
s=2,26.0,1716,13
s=2,30.0,1206,11
s=2,34.0,823,8
s=2,38.0,703,6
s=2,43.0,542,4
s=2,48.0,358,2
s=2,55.0,280,3
s=2,62.0,280,3
s=2,70.0,216,2
s=2,79.0,216,2
s=2,89.0,216,2
s=2,100.0,216,2
s=2,113.0,114,1
s=3,1.0,269181,-1
s=3,2.0,198772,-1
s=3,3.0,195582,-1
s=3,4.0,134901,-1
s=3,5.0,131583,-1
s=3,6.0,129628,-1
s=3,8.0,86649,316
s=3,9.0,85131,321
s=3,12.0,56741,255
s=3,15.0,54859,272
s=3,18.0,37864,191
s=3,23.0,26884,140
s=3,29.0,19864,109
s=3,36.0,19496,113
s=3,45.0,14824,85
s=3,57.0,10003,48
s=3,71.0,8110,35
s=3,89.0,6775,28
s=3,111.0,4749,25
s=3,139.0,3665,17
s=3,174.0,3061,16
s=3,218.0,2438,14
s=3,273.0,2069,15
s=3,342.0,1603,12
s=3,428.0,1206,11
s=3,536.0,822,8
s=3,671.0,703,6
s=3,840.0,585,5
s=3,1051.0,454,3
s=3,1315.0,280,3
s=3,1646.0,280,3
s=3,2060.0,216,2
s=3,2579.0,216,2
s=3,3227.0,216,2
s=3,4040.0,216,2
s=3,5056.0,114,1
s=3,6328.0,114,1
s=5,1.0,127805,-1
s=5,2.0,83045,334
s=5,3.0,82224,338
s=5,5.0,82086,338
s=5,7.0,53916,277
s=5,11.0,53584,280
s=5,17.0,36722,200
s=5,25.0,36539,203
s=5,37.0,26137,143
s=5,56.0,26016,143
s=5,83.0,19401,113
s=5,124.0,19360,113
s=5,186.0,14760,85
s=5,278.0,11964,68
s=5,416.0,9964,48
s=5,621.0,8091,35
s=5,929.0,6767,28
s=5,1388.0,4745,25
s=5,2075.0,4212,18
s=5,3102.0,3396,17
s=5,4637.0,3060,16
s=5,6932.0,2438,14
s=5,10362.0,2069,15
s=5,15489.0,1603,12
s=5,23153.0,1358,11
s=5,34610.0,955,12
s=5,51735.0,819,8
s=5,77334.0,625,6
s=5,115599.0,542,4
s=5,172798.0,454,3
s=5,258300.0,280,3
s=5,386108.0,280,3
s=5,577156.0,217,2
s=5,862736.0,216,2
s=5,1289622.0,216,2
s=5,1927733.0,216,2
s=5,2881586.0,216,2
s=5,4307410.0,114,1
s=5,6438740.0,114,1
s=10,1.0,19354,113
s=10,2.0,14758,85
s=10,5.0,14756,85
s=10,10.0,14756,85
s=10,20.0,11949,68
s=10,43.0,11949,68
s=10,92.0,9962,48
s=10,196.0,9961,48
s=10,418.0,8089,35
s=10,888.0,6767,28
s=10,1888.0,6767,28
s=10,4013.0,5746,29
s=10,8532.0,4743,25
s=10,18141.0,4207,18
s=10,38570.0,3656,17
s=10,82005.0,3396,17
s=10,174352.0,2723,15
s=10,370695.0,2438,14
s=10,788144.0,2221,13
s=10,1675693.0,1896,14
s=10,3562737.0,1603,12
s=10,7574831.0,1358,11
s=10,16105051.0,1050,14
s=10,34241383.0,856,9
s=10,72801527.0,738,6
s=10,154785286.0,703,6
s=10,329093164.0,585,5
s=10,699693837.0,454,3
s=10,1487637905.0,358,2
s=10,3162907003.0,280,3
s=10,6724741734.0,280,3
s=10,14297654451.0,280,3
s=10,30398628067.0,216,2
s=10,64631341561.0,216,2
s=10,137414435373.0,216,2
s=10,292160530677.0,216,2
s=10,621170370160.0,216,2
s=10,1320687047871.0,216,2
s=10,2807948289558.0,114,1
s=10,5970054457290.0,114,1
s=15,1.0,6767,28
s=15,3.0,5746,29
s=15,8.0,5746,29
s=15,22.0,4743,25
s=15,61.0,4743,25
s=15,172.0,4209,18
s=15,482.0,4207,18
s=15,1349.0,3656,17
s=15,3776.0,3396,17
s=15,10573.0,3396,17
s=15,29602.0,3060,16
s=15,82879.0,2722,15
s=15,232048.0,2438,14
s=15,649693.0,2221,13
s=15,1819030.0,2069,15
s=15,5092971.0,1715,13
s=15,14259444.0,1603,12
s=15,39923997.0,1487,12
s=15,111780339.0,1206,11
s=15,312965767.0,955,12
s=15,876250437.0,822,8
s=15,2453350848.0,738,6
s=15,6868961346.0,703,6
s=15,19231912963.0,585,5
s=15,53846055841.0,542,4
s=15,150759715644.0,454,3
s=15,422101331401.0,358,2
s=15,1181811289638.0,309,2
s=15,3308868796216.0,280,3
s=15,9264264782857.0,280,3
s=15,25938351519111.0,280,3
s=15,72622932882272.0,216,2
s=15,203331748994804.0,216,2
s=15,569294002712726.0,216,2
s=15,1593925509060359.0,216,2
s=15,4462717886236630.0,216,2
s=15,1.2494844218834922e+16,216,2
s=15,3.498341952881289e+16,216,2
s=15,9.794757105367365e+16,114,1
s=15,2.742363898249851e+17,114,1
s=20,1.0,3396,17
s=20,4.0,3060,16
s=20,12.0,3060,16
s=20,43.0,2722,15
s=20,150.0,2722,15
s=20,527.0,2438,14
s=20,1844.0,2221,13
s=20,6456.0,2221,13
s=20,22608.0,2069,15
s=20,79169.0,1896,14
s=20,277228.0,1715,13
s=20,970781.0,1603,12
s=20,3399422.0,1487,12
s=20,11903889.0,1358,11
s=20,41684313.0,1206,11
s=20,145967580.0,955,12
s=20,511140351.0,856,9
s=20,1789880050.0,822,8
s=20,6267692592.0,738,6
s=20,21947822951.0,703,6
s=20,76855545355.0,585,5
s=20,269128052698.0,585,5
s=20,942416170684.0,454,3
s=20,3300095363011.0,454,3
s=20,11556072299851.0,309,2
s=20,40466347880788.0,309,2
s=20,141702584435203.0,280,3
s=20,496205451867546.0,280,3
s=20,1737581932217101.0,280,3
s=20,6084558240551609.0,217,2
s=20,2.1306534268243372e+16,216,2
s=20,7.460991982922942e+16,216,2
s=20,2.6126445844460592e+17,216,2
s=20,9.148799168071455e+17,216,2
s=20,3.2036705917062723e+18,216,2
s=20,1.1218417927439385e+19,216,2
s=20,3.928397043082549e+19,216,2
s=20,1.3756220732652054e+20,216,2
s=20,4.8170693229357525e+20,114,1
s=20,1.6868119022611367e+21,114,1
s=25,1.0,2069,15
