graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
web-Google,4322051,0.2,864410,2,Ours_ST,0,321.5,194976,OK
web-Google,4322051,0.2,864410,2,REF_R1,0,505.5,425032,OK
web-Google,4322051,0.2,864410,3,Ours_ST,0,55.1,91000,OK
web-Google,4322051,0.2,864410,3,REF_R1,0,228.0,171136,OK
web-Google,4322051,0.2,864410,5,Ours_ST,0,7.3,65124,OK
web-Google,4322051,0.2,864410,5,REF_R1,0,145.4,141496,OK
web-Google,4322051,0.2,864410,7,Ours_ST,0,7.5,65152,OK
web-Google,4322051,0.2,864410,7,REF_R1,0,141.1,141388,OK
web-Google,4322051,0.2,864410,9,Ours_ST,0,7.5,65232,OK
web-Google,4322051,0.2,864410,9,REF_R1,0,142.0,141532,OK
web-Google,4322051,0.2,864410,11,Ours_ST,0,6.2,65196,OK
web-Google,4322051,0.2,864410,11,REF_R1,0,166.7,141416,OK
web-Google,4322051,0.2,864410,13,Ours_ST,0,6.2,65108,OK
web-Google,4322051,0.2,864410,13,REF_R1,0,167.5,141520,OK
web-Google,4322051,0.2,864410,15,Ours_ST,0,6.2,65216,OK
web-Google,4322051,0.2,864410,15,REF_R1,0,166.3,141544,OK
web-Google,4322051,0.4,1728820,2,Ours_ST,0,478.7,324056,OK
web-Google,4322051,0.4,1728820,2,REF_R1,0,785.4,548128,OK
web-Google,4322051,0.4,1728820,3,Ours_ST,0,303.6,219276,OK
web-Google,4322051,0.4,1728820,3,REF_R1,0,627.1,422936,OK
web-Google,4322051,0.4,1728820,5,Ours_ST,0,11.9,71664,OK
web-Google,4322051,0.4,1728820,5,REF_R1,0,167.2,151100,OK
web-Google,4322051,0.4,1728820,7,Ours_ST,0,6.4,67836,OK
web-Google,4322051,0.4,1728820,7,REF_R1,0,145.1,147028,OK
web-Google,4322051,0.4,1728820,9,Ours_ST,0,6.2,67888,OK
web-Google,4322051,0.4,1728820,9,REF_R1,0,143.4,147012,OK
web-Google,4322051,0.4,1728820,11,Ours_ST,0,6.2,67832,OK
web-Google,4322051,0.4,1728820,11,REF_R1,0,142.9,147052,OK
web-Google,4322051,0.4,1728820,13,Ours_ST,0,6.2,67852,OK
web-Google,4322051,0.4,1728820,13,REF_R1,0,155.6,147136,OK
web-Google,4322051,0.4,1728820,15,Ours_ST,0,6.4,67896,OK
web-Google,4322051,0.4,1728820,15,REF_R1,0,143.2,147184,OK
web-Google,4322051,0.6,2593231,2,Ours_ST,0,627.5,362808,OK
web-Google,4322051,0.6,2593231,2,REF_R1,0,995.1,657820,OK
web-Google,4322051,0.6,2593231,3,Ours_ST,0,651.5,371580,OK
web-Google,4322051,0.6,2593231,3,REF_R1,0,1173.7,610424,OK
web-Google,4322051,0.6,2593231,5,Ours_ST,0,170.9,179352,OK
web-Google,4322051,0.6,2593231,5,REF_R1,0,429.3,248280,OK
web-Google,4322051,0.6,2593231,7,Ours_ST,0,11.2,94008,OK
web-Google,4322051,0.6,2593231,7,REF_R1,0,157.5,165632,OK
web-Google,4322051,0.6,2593231,9,Ours_ST,0,6.3,91108,OK
web-Google,4322051,0.6,2593231,9,REF_R1,0,143.5,162016,OK
web-Google,4322051,0.6,2593231,11,Ours_ST,0,6.3,89172,OK
web-Google,4322051,0.6,2593231,11,REF_R1,0,141.0,161960,OK
web-Google,4322051,0.6,2593231,13,Ours_ST,0,6.2,80948,OK
web-Google,4322051,0.6,2593231,13,REF_R1,0,144.4,162104,OK
web-Google,4322051,0.6,2593231,15,Ours_ST,0,6.0,80988,OK
web-Google,4322051,0.6,2593231,15,REF_R1,0,143.4,161924,OK
web-Google,4322051,0.8,3457641,2,Ours_ST,0,724.2,475256,OK
web-Google,4322051,0.8,3457641,2,REF_R1,0,1155.2,740620,OK
web-Google,4322051,0.8,3457641,3,Ours_ST,0,1008.9,545192,OK
web-Google,4322051,0.8,3457641,3,REF_R1,0,1675.7,824716,OK
web-Google,4322051,0.8,3457641,5,Ours_ST,0,768.6,490416,OK
web-Google,4322051,0.8,3457641,5,REF_R1,0,1392.9,746068,OK
web-Google,4322051,0.8,3457641,7,Ours_ST,0,364.4,286332,OK
web-Google,4322051,0.8,3457641,7,REF_R1,0,705.5,524316,OK
web-Google,4322051,0.8,3457641,9,Ours_ST,0,68.3,146704,OK
web-Google,4322051,0.8,3457641,9,REF_R1,0,268.8,218676,OK
web-Google,4322051,0.8,3457641,11,Ours_ST,0,13.5,110024,OK
web-Google,4322051,0.8,3457641,11,REF_R1,0,160.3,180424,OK
web-Google,4322051,0.8,3457641,13,Ours_ST,0,7.6,104168,OK
web-Google,4322051,0.8,3457641,13,REF_R1,0,144.0,173688,OK
web-Google,4322051,0.8,3457641,15,Ours_ST,0,7.5,103516,OK
web-Google,4322051,0.8,3457641,15,REF_R1,0,140.8,172424,OK
web-Google,4322051,1.0,4322051,2,Ours_ST,0,818.9,436536,OK
web-Google,4322051,1.0,4322051,2,REF_R1,0,1254.5,725248,OK
