n,density,m,s,algorithm,time_ms,memory_kB,status
1000,0.01,4995,5,Ours_ST,0.2,8488,OK
1000,0.01,4995,5,REF_R1,0.5,8948,OK
1000,0.01,4995,7,Ours_ST,0.2,8492,OK
1000,0.01,4995,7,REF_R1,0.5,8820,OK
1000,0.01,4995,9,Ours_ST,0.1,8596,OK
1000,0.01,4995,9,REF_R1,0.5,8932,OK
1000,0.01,4995,11,Ours_ST,0.1,8396,OK
1000,0.01,4995,11,REF_R1,0.5,8984,OK
1000,0.03,14985,5,Ours_ST,0.7,9648,OK
1000,0.03,14985,5,REF_R1,1.4,9772,OK
1000,0.03,14985,7,Ours_ST,0.5,9296,OK
1000,0.03,14985,7,REF_R1,1.1,9292,OK
1000,0.03,14985,9,Ours_ST,0.4,9196,OK
1000,0.03,14985,9,REF_R1,0.9,9440,OK
1000,0.03,14985,11,Ours_ST,0.3,9152,OK
1000,0.03,14985,11,REF_R1,0.8,9136,OK
1000,0.05,24975,5,Ours_ST,3.2,12172,OK
1000,0.05,24975,5,REF_R1,5.9,12920,OK
1000,0.05,24975,7,Ours_ST,2.2,11092,OK
1000,0.05,24975,7,REF_R1,4.2,11968,OK
1000,0.05,24975,9,Ours_ST,1.5,10708,OK
1000,0.05,24975,9,REF_R1,2.8,11200,OK
1000,0.05,24975,11,Ours_ST,1.1,10152,OK
1000,0.05,24975,11,REF_R1,2.1,10456,OK
1000,0.08,39960,5,Ours_ST,15.5,22160,OK
1000,0.08,39960,5,REF_R1,29.6,26328,OK
1000,0.08,39960,7,Ours_ST,11.8,19284,OK
1000,0.08,39960,7,REF_R1,23.6,22820,OK
1000,0.08,39960,9,Ours_ST,7.7,16364,OK
1000,0.08,39960,9,REF_R1,14.3,18204,OK
1000,0.08,39960,11,Ours_ST,4.9,14060,OK
1000,0.08,39960,11,REF_R1,9.1,15140,OK
1000,0.11,54945,5,Ours_ST,71.9,62284,OK
1000,0.11,54945,5,REF_R1,163.8,80152,OK
1000,0.11,54945,7,Ours_ST,58.4,47080,OK
1000,0.11,54945,7,REF_R1,119.2,69064,OK
1000,0.11,54945,9,Ours_ST,37.0,39492,OK
1000,0.11,54945,9,REF_R1,78.4,47960,OK
1000,0.11,54945,11,Ours_ST,20.9,25984,OK
1000,0.11,54945,11,REF_R1,42.4,32636,OK
1000,0.15,74925,5,Ours_ST,311.7,280188,OK
1000,0.15,74925,5,REF_R1,905.7,371016,OK
1000,0.15,74925,7,Ours_ST,312.1,279788,OK
1000,0.15,74925,7,REF_R1,911.6,364224,OK
1000,0.15,74925,9,Ours_ST,214.7,196624,OK
1000,0.15,74925,9,REF_R1,572.1,252344,OK
1000,0.15,74925,11,Ours_ST,118.4,99532,OK
1000,0.15,74925,11,REF_R1,285.1,151656,OK
1000,0.2,99900,5,Ours_ST,1736.4,1805280,OK
1000,0.2,99900,5,REF_R1,6419.9,2380524,OK
1000,0.2,99900,7,Ours_ST,2651.8,2398708,OK
1000,0.2,99900,7,REF_R1,9510.7,3150492,OK
1000,0.2,99900,9,Ours_ST,2093.9,1916128,OK
1000,0.2,99900,9,REF_R1,7376.4,2486964,OK
1000,0.2,99900,11,Ours_ST,1269.1,1072340,OK
1000,0.2,99900,11,REF_R1,4209.5,1528416,OK
1000,0.25,124875,5,Ours_ST,6903.2,8186272,OK
1000,0.25,124875,5,REF_R1,30713.6,10875844,OK
1000,0.25,124875,7,Ours_ST,17849.4,11619744,OK
1000,0.25,124875,7,REF_R1,75398.4,21863192,OK
1000,0.25,124875,9,Ours_ST,16429.9,10582568,OK
1000,0.25,124875,9,REF_R1,68701.0,19945456,OK
1000,0.25,124875,11,Ours_ST,11133.8,7882488,OK
1000,0.25,124875,11,REF_R1,50727.6,13740900,OK
1000,0.6,299700,11,Ours_ST,,,FAIL(-9)
1000,0.6,299700,9,Ours_ST,,,FAIL(-9)
1000,0.5,249750,9,Ours_ST,,,FAIL(-9)
1000,0.5,249750,11,Ours_ST,,,FAIL(-9)
1000,0.4,199800,9,Ours_ST,,,FAIL(-9)
1000,0.5,249750,9,REF_R1,,,FAIL(-9)
1000,0.4,199800,9,REF_R1,,,FAIL(-9)
1000,0.5,249750,11,REF_R1,,,FAIL(-9)
1000,0.4,199800,7,REF_R1,,,FAIL(-9)
1000,0.4,199800,11,REF_R1,,,FAIL(-9)
1000,0.6,299700,9,REF_R1,,,FAIL(-9)
1000,0.4,199800,7,Ours_ST,,,FAIL(-9)
1000,0.3,149850,9,Ours_ST,,,FAIL(-9)
1000,0.3,149850,7,REF_R1,,,FAIL(-9)
1000,0.3,149850,9,REF_R1,,,FAIL(-9)
1000,0.3,149850,7,Ours_ST,,,FAIL(-9)
1000,0.3,149850,5,Ours_ST,26135.3,24295312,OK
1000,0.3,149850,5,REF_R1,132200.0,43190316,OK
1000,0.3,149850,9,Ours_ST,,,FAIL(-11)
1000,0.3,149850,11,Ours_ST,,,SKIP_FLOOR
1000,0.3,149850,7,Ours_ST,123040.0,53353648,OK
1000,0.3,149850,7,REF_R1,599953.0,152171856,OK
1000,0.3,149850,9,REF_R1,,,FAIL(-9)
1000,0.4,199800,7,Ours_ST,,,FAIL(-9)
1000,0.4,199800,7,REF_R1,,,FAIL(-9)
1000,0.3,149850,11,Ours_ST,155401.0,44127580,OK
1000,0.3,149850,9,Ours_ST,,,FAIL(-11)
1000,0.4,199800,9,Ours_ST,,,SKIP_FLOOR
1000,0.4,199800,9,REF_R1,,,SKIP_FLOOR
1000,0.4,199800,11,Ours_ST,,,SKIP_FLOOR
1000,0.4,199800,11,REF_R1,,,SKIP_FLOOR
1000,0.3,149850,11,REF_R1,636503.0,131896056,OK
1000,0.4,199800,5,Ours_ST,,,TIMEOUT
1000,0.4,199800,5,REF_R1,,,TIMEOUT
1000,0.5,249750,11,Ours_ST,,,SKIP_DEAD_ALGO
1000,0.5,249750,9,Ours_ST,,,FAIL(-9)
1000,0.5,249750,9,REF_R1,,,FAIL(-9)
1000,0.5,249750,5,Ours_ST,,,TIMEOUT
1000,0.5,249750,5,REF_R1,,,TIMEOUT
1000,0.5,249750,7,Ours_ST,,,TIMEOUT
1000,0.5,249750,7,REF_R1,,,TIMEOUT
