graph,s,nz_vertices,n_nodes,n_leaves,n_internal,max_depth,max_persistence,total_persistence
com-dblp,3,269181,10900,10474,426,4,6328,51614
com-dblp,5,127805,6050,5772,278,4,6438740,12801274
com-dblp,10,19354,751,731,20,4,5970054457290,8085300899870
com-dblp,15,6767,197,189,8,4,274236389824985344,325564358030647392
com-youtube,3,261730,13507,13154,353,4,552,12286
com-youtube,5,40160,714,710,4,3,7924,10215
com-youtube,10,1909,12,11,1,2,21915,23505
com-youtube,15,95,1,1,0,1,120,120
web-Stanford,3,241106,3455,3274,181,5,1889,23517
web-Stanford,5,149315,1093,1073,20,3,554306,2234539
web-Stanford,10,45835,228,221,7,3,19518759546,39170796364
web-Stanford,15,33916,90,88,2,2,26332446142380,45536655656110
