graph,s,node_id,k_birth,k_death,persistence,size_birth,size_death
com-dblp,3,0,6328,0,6328,1,259533
com-dblp,3,226,5050,1275,3775,1,202
com-dblp,3,430,1891,91,1800,1,191
com-dblp,3,631,1128,1128,0,1,94
com-dblp,3,728,1081,435,646,1,362
com-dblp,3,781,1081,1081,0,1,94
com-dblp,3,917,903,55,848,1,92
com-dblp,3,965,903,903,0,1,85
com-dblp,3,1093,861,156,705,1,358
com-dblp,3,1177,741,66,675,1,105
com-dblp,3,1255,703,378,325,1,76
com-dblp,3,1296,703,703,0,1,46
com-dblp,3,1534,595,153,442,1,70
com-dblp,3,1573,595,435,160,1,70
com-dblp,3,1698,528,300,228,1,128
com-dblp,3,1764,496,190,306,1,145
com-dblp,3,1799,496,10,486,1,64
com-dblp,3,1833,496,28,468,1,156
com-dblp,3,1963,465,21,444,1,87
com-dblp,3,1996,465,136,329,1,62
com-dblp,3,2152,435,120,315,1,60
com-dblp,3,2185,435,435,0,1,60
com-dblp,3,2252,435,435,0,1,47
com-dblp,3,2511,406,378,28,1,58
com-dblp,3,2875,378,91,287,1,66
com-dblp,3,3117,351,171,180,1,77
com-dblp,3,3146,351,351,0,1,54
com-dblp,3,3179,351,351,0,1,52
com-dblp,3,3326,325,325,0,1,52
com-dblp,3,3354,325,325,0,1,52
com-dblp,3,3382,325,28,297,1,52
com-dblp,3,3426,325,276,49,1,52
com-dblp,3,3565,300,300,0,1,50
com-dblp,3,3618,300,10,290,1,63
com-dblp,3,3655,300,300,0,1,41
com-dblp,3,3976,276,66,210,1,48
com-dblp,3,4027,276,276,0,1,46
com-dblp,3,4053,276,276,0,1,46
com-dblp,3,4083,276,78,198,1,48
com-dblp,3,4124,276,276,0,1,48
com-dblp,3,4327,253,253,0,1,135
com-dblp,3,4352,253,231,22,1,46
com-dblp,3,4401,253,253,0,1,44
com-dblp,3,4432,253,253,0,1,41
com-dblp,3,4461,253,45,208,1,87
com-dblp,3,4646,231,190,41,1,44
com-dblp,3,4670,231,10,221,1,114
com-dblp,3,4695,231,190,41,1,87
com-dblp,3,4742,231,231,0,1,42
com-dblp,3,4840,231,231,0,1,38
com-dblp,3,5104,210,210,0,1,35
com-dblp,3,5172,210,78,132,1,42
com-dblp,3,5196,210,55,155,1,114
com-dblp,3,5292,210,11,199,1,58
com-dblp,3,5316,210,210,0,1,34
com-dblp,3,5365,210,210,0,1,40
com-dblp,3,5777,190,15,175,1,40
com-dblp,3,5799,190,15,175,1,81
com-dblp,3,5821,190,66,124,1,175
com-dblp,3,5858,190,22,168,1,102
com-dblp,3,5883,190,190,0,1,40
com-dblp,3,5905,190,105,85,1,40
com-dblp,3,5946,190,190,0,1,34
com-dblp,3,5969,190,190,0,1,37
com-dblp,3,6020,190,78,112,1,42
com-dblp,3,6487,171,28,143,1,56
com-dblp,3,6508,171,56,115,1,38
com-dblp,3,6529,171,105,66,1,38
com-dblp,3,6623,171,36,135,1,38
com-dblp,3,6645,171,11,160,1,38
com-dblp,3,6666,171,171,0,1,35
com-dblp,3,6700,171,21,150,1,82
com-dblp,3,6749,171,171,0,1,38
com-dblp,3,6772,171,78,93,1,38
com-dblp,3,6856,171,171,0,1,38
com-dblp,3,7247,153,153,0,1,36
com-dblp,3,7285,153,153,0,1,32
com-dblp,3,7342,153,153,0,1,36
com-dblp,3,7380,153,23,130,1,36
com-dblp,3,7833,136,136,0,1,32
com-dblp,3,7897,136,136,0,1,32
com-dblp,3,7932,136,136,0,1,32
com-dblp,3,7970,136,21,115,1,63
com-dblp,3,8006,136,136,0,1,31
com-dblp,3,8025,136,120,16,1,34
com-dblp,3,8044,136,136,0,1,34
com-dblp,3,8064,136,136,0,1,29
com-dblp,3,8083,136,136,0,1,34
com-dblp,3,8116,136,15,121,1,34
com-dblp,3,8136,136,136,0,1,34
com-dblp,3,8155,136,45,91,1,34
com-dblp,3,8193,136,136,0,1,31
com-dblp,3,8270,136,136,0,1,34
com-dblp,3,8289,136,1,135,1,34
com-dblp,3,8320,136,55,81,1,52
com-dblp,3,9113,120,10,110,1,52
com-dblp,3,9131,120,120,0,1,32
com-dblp,3,9170,120,15,105,1,32
com-dblp,3,9188,120,45,75,1,32
com-dblp,3,9222,120,45,75,1,32
com-dblp,3,9255,120,12,108,1,68
com-dblp,3,9293,120,55,65,1,52
com-dblp,3,9311,120,55,65,1,46
com-dblp,3,9332,120,66,54,1,78
com-dblp,3,9351,120,105,15,1,61
com-dblp,3,9370,120,120,0,1,32
com-dblp,3,9394,120,120,0,1,32
com-dblp,3,9412,120,36,84,1,66
com-dblp,3,9468,120,120,0,1,32
com-dblp,3,9498,120,120,0,1,32
com-dblp,3,9521,120,78,42,1,32
com-dblp,3,9546,120,36,84,1,32
com-dblp,3,9645,120,120,0,1,57
com-dblp,3,9679,120,120,0,1,25
com-dblp,3,9711,120,120,0,1,26
com-dblp,3,10288,105,28,77,1,102
com-dblp,3,10305,105,66,39,1,30
com-dblp,3,10322,105,28,77,1,30
com-dblp,3,10339,105,105,0,1,28
com-dblp,3,10356,105,36,69,1,67
com-dblp,3,10373,105,105,0,1,59
com-dblp,3,10406,105,105,0,1,30
com-dblp,3,10459,105,45,60,1,52
com-dblp,3,10476,105,21,84,1,57
com-dblp,3,10493,105,58,47,1,30
com-dblp,3,10510,105,105,0,1,30
com-dblp,3,10527,105,105,0,1,29
com-dblp,3,10544,105,66,39,1,30
com-dblp,3,10592,105,66,39,1,37
com-dblp,3,10609,105,105,0,1,29
com-dblp,3,10672,105,55,50,1,30
com-dblp,3,10690,105,36,69,1,115
com-dblp,3,10712,105,66,39,1,34
com-dblp,3,10751,105,36,69,1,82
com-dblp,3,10772,105,45,60,1,72
com-dblp,3,10789,105,36,69,1,59
com-dblp,3,10806,105,10,95,1,30
com-dblp,3,10836,105,105,0,1,27
com-dblp,3,10854,105,105,0,1,30
com-dblp,3,10873,105,45,60,1,30
