r	status	wall_s	rss_mb	pairs	mh_pats	mh_rc	maxcore	peel
6	RSSKILL	25.7	12481					
7	RSSKILL	15.6	12888					
8	RSSKILL	26.8	12034					
9	RSSKILL	19.0	12334					
10	RSSKILL	24.7	12418					
11	RSSKILL	22.4	12134					
12	RSSKILL	25.5	12168					
13	RSSKILL	24.5	12035					
14	RSSKILL	29.9	13828					
15	RSSKILL	31.0	14650					
16	RSSKILL	32.1	12202					
17	RSSKILL	31.0	12061					
18	RSSKILL	29.2	13936					
19	RSSKILL	36.5	12215					
20	RSSKILL	35.7	12214					
21	RSSKILL	37.5	12491					
22	RSSKILL	46.0	12315					
23	RSSKILL	49.1	12347					
24	RSSKILL	74.7	12200					
25	RSSKILL	184.1	12314					
26	RSSKILL	141.1	12046					
27	RSSKILL	111.1	12243					
28	RSSKILL	46.7	12815					
29	OK	117.7	8405	247	10169491	220465309663	28	90.77
