r	status	wall_s	rss_mb	pairs	mh_pats	mh_rc	maxcore	peel
7	RSSKILL	19.1	12367					
8	RSSKILL	20.0	12056					
9	RSSKILL	20.9	12251					
10	RSSKILL	22.3	12625					
11	RSSKILL	23.4	12629					
12	RSSKILL	22.2	12321					
13	RSSKILL	22.3	12192					
14	RSSKILL	23.4	12620					
15	RSSKILL	20.2	12232					
16	RSSKILL	20.2	12199					
17	RSSKILL	20.3	12324					
18	RSSKILL	20.3	12620					
19	RSSKILL	18.9	12287					
20	RSSKILL	18.6	12066					
21	RSSKILL	19.0	12309					
22	RSSKILL	20.3	12587					
23	RSSKILL	20.2	12533					
24	RSSKILL	68.7	12044					
25	RSSKILL	74.7	12741					
26	OK	15.7	1651	44	1768817	601557853128574592	88	12.50
