graph,r,s,variant,status,alg_s,user_s,wall_s,max_rss_mb,exit_status
ca-GrQc,3,4,ARB,OK,0.138004,0.15,0.15,17.48046875,0
ca-GrQc,4,5,ARB,OK,1.995961,2.0,2.01,47.13671875,0
dblp-core30,3,4,ARB,OK,3.990612,3.98,4.01,85.80859375,0
ca-GrQc,3,5,ARB,OK,4.034634,4.03,4.05,17.28125,0
dblp-core30,3,4,ARB-Hi,OK,17.086765,17.1,17.11,58.10546875,0
ca-GrQc,4,6,ARB,OK,40.711512,40.71,40.73,45.26171875,0
ca-GrQc,3,6,ARB,OK,54.943278,54.95,54.96,17.5078125,0
dblp-core30,4,5,ARB,OK,267.657101,266.41,267.73,1452.90625,0
dblp-core30,3,5,ARB,OK,404.5238,404.5,404.55,84.86328125,0
dblp-core30,7,8,ARB-Hi,OOM,-1,655.05,655.19,7.4453125,134
dblp-core30,7,8,ARB,OOM,-1,664.47,664.61,12.0625,134
ca-GrQc,5,6,ARB,OK,14.583034,14.51,14.61,261.54296875,0
ca-GrQc,6,7,ARB,OK,163.613675,161.6,163.7,1678.875,0
dblp-core30,4,5,ARB-Hi,OK,1103.23717,1098.82,1103.31,1022.23828125,0
ca-GrQc,5,7,ARB,OK,454.459838,453.28,454.47,250.8984375,0
ca-GrQc,3,7,ARB,OK,1216.038227,1215.18,1216.05,17.3828125,0
ca-GrQc,4,7,ARB,OK,1622.009356,1621.2,1622.03,46.14453125,0
dblp-core30,3,5,ARB-Hi,OK,1985.379517,1984.38,1985.39,58.40234375,0
dblp-core30,5,6,ARB-Hi,TIMEOUT,-1,-1,3600.875262737274,-1,0
dblp-core30,5,6,ARB,TIMEOUT,-1,-1,3601.0818605422974,-1,0
ca-GrQc,3,4,ARB-Hi,OK,0.529498,0.54,0.54,11.23828125,0
dblp-core30,6,7,ARB,TIMEOUT,-1,-1,3604.2163910865784,-1,0
dblp-core30,6,7,ARB-Hi,TIMEOUT,-1,-1,3604.336649417877,-1,0
ca-GrQc,4,5,ARB-Hi,OK,6.840904,6.84,6.85,37.140625,0
ca-GrQc,3,5,ARB-Hi,OK,15.768671,15.77,15.78,11.2265625,0
ca-GrQc,5,6,ARB-Hi,OK,69.424863,69.39,69.45,222.9453125,0
ca-GrQc,4,6,ARB-Hi,OK,207.054464,207.05,207.07,31.734375,0
dblp-core30,4,6,ARB,TIMEOUT,-1,-1,3600.1799187660217,-1,0
ca-GrQc,3,6,ARB-Hi,OK,288.929814,288.92,288.93,11.55859375,0
dblp-core30,3,6,ARB,TIMEOUT,-1,-1,3600.0762016773224,-1,0
ca-GrQc,6,8,ARB,TIMEOUT,-1,-1,3600.1714119911194,-1,0
ca-HepPh,3,4,ARB,OK,23.803054,23.69,23.84,368.86328125,0
ca-GrQc,7,8,ARB,OK,1046.540276,1035.94,1047.02,8568.828125,0
ca-GrQc,6,7,ARB-Hi,OK,811.265787,805.56,811.37,1883.8671875,0
dblp-core30,4,6,ARB-Hi,TIMEOUT,-1,-1,3600.150799036026,-1,0
ca-GrQc,5,8,ARB,TIMEOUT,-1,-1,3600.117197036743,-1,0
ca-GrQc,3,8,ARB,TIMEOUT,-1,-1,3600.110002756119,-1,0
ca-GrQc,4,8,ARB,TIMEOUT,-1,-1,3600.1109602451324,-1,0
dblp-core30,3,6,ARB-Hi,TIMEOUT,-1,-1,3600.111091852188,-1,0
ca-HepPh,3,4,ARB-Hi,OK,255.679206,255.63,255.74,261.55078125,0
ca-GrQc,5,7,ARB-Hi,OK,2897.790934,2897.45,2897.8,195.74609375,0
ca-HepPh,4,5,ARB,OK,1992.973424,1982.56,1993.52,15788.46875,0
ca-HepPh,3,5,ARB,OK,2289.120789,2288.92,2289.19,367.7890625,0
ca-GrQc,4,7,ARB-Hi,TIMEOUT,-1,-1,3600.110533952713,-1,0
ca-HepPh,6,7,ARB,OOM,-1,2595.51,2595.66,17.80078125,134
ca-GrQc,3,7,ARB-Hi,TIMEOUT,-1,-1,3600.109236240387,-1,0
ca-GrQc,7,8,ARB-Hi,TIMEOUT,-1,-1,3600.4667761325836,-1,0
ca-GrQc,7,9,ARB,TIMEOUT,-1,-1,3600.407894849777,-1,0
ca-CondMat,3,4,ARB,OK,0.278049,0.3,0.32,34.85546875,0
ca-CondMat,3,5,ARB,OK,1.940939,1.95,1.97,35.81640625,0
ca-CondMat,3,6,ARB,OK,7.077017,7.08,7.1,35.78125,0
ca-GrQc,6,8,ARB-Hi,TIMEOUT,-1,-1,3600.175211906433,-1,0
ca-CondMat,4,5,ARB,OK,0.913109,0.93,0.96,44.54296875,0
ca-CondMat,3,7,ARB,OK,27.67575,27.69,27.7,35.828125,0
ca-CondMat,4,6,ARB,OK,5.122679,5.13,5.15,45.01171875,0
ca-CondMat,4,7,ARB,OK,31.251477,31.26,31.27,45.30078125,0
ca-HepPh,5,6,ARB,TIMEOUT,-1,-1,3604.022396802902,-1,0
ca-CondMat,5,6,ARB,OK,2.019769,2.05,2.07,79.28125,0
ca-CondMat,5,7,ARB,OK,17.305379,17.3,17.33,80.6640625,0
ca-CondMat,3,8,ARB,OK,92.807204,92.83,92.85,36.140625,0
ca-CondMat,4,8,ARB,OK,166.285328,166.3,166.34,45.43359375,0
ca-CondMat,5,8,ARB,OK,138.74471,138.77,138.8,80.7265625,0
ca-CondMat,3,9,ARB,OK,266.465299,266.49,266.51,36.3125,0
ca-HepPh,7,8,ARB,TIMEOUT,-1,-1,3600.1090104579926,-1,0
ca-CondMat,6,7,ARB,OK,3.458704,3.46,3.48,131.79296875,0
ca-CondMat,6,8,ARB,OK,45.843773,45.84,45.87,133.08984375,0
ca-CondMat,4,9,ARB,OK,664.992178,665.0,665.04,45.50390625,0
ca-CondMat,5,9,ARB,OK,868.799339,868.81,868.85,80.1015625,0
ca-CondMat,6,9,ARB,OK,449.411762,449.39,449.44,132.05078125,0
ca-HepPh,3,5,ARB-Hi,TIMEOUT,-1,-1,3600.1185462474823,-1,0
ca-CondMat,7,8,ARB,OK,7.063309,7.03,7.09,210.796875,0
ca-CondMat,7,9,ARB,OK,117.374332,117.33,117.41,218.65625,0
ca-HepPh,6,7,ARB-Hi,OOM,-1,2579.34,2579.48,11.9609375,134
ca-CondMat,3,4,ARB-Hi,OK,0.609508,0.63,0.65,26.75390625,0
ca-CondMat,3,5,ARB-Hi,OK,3.996544,4.01,4.02,27.1328125,0
ca-CondMat,3,6,ARB-Hi,OK,20.970572,20.99,20.99,26.484375,0
ca-GrQc,5,8,ARB-Hi,TIMEOUT,-1,-1,3600.1157262325287,-1,0
ca-CondMat,4,5,ARB-Hi,OK,2.23651,2.27,2.28,36.015625,0
ca-CondMat,4,6,ARB-Hi,OK,14.606002,14.64,14.65,35.9609375,0
ca-CondMat,3,7,ARB-Hi,OK,105.305978,105.33,105.33,26.99609375,0
ca-CondMat,3,10,ARB,OK,1599.696253,1599.69,1599.72,36.578125,0
ca-HepPh,4,6,ARB,TIMEOUT,-1,-1,3600.2612516880035,-1,0
ca-CondMat,5,6,ARB-Hi,OK,5.102651,5.12,5.15,74.34765625,0
ca-CondMat,4,7,ARB-Hi,OK,116.279662,116.28,116.3,36.83984375,0
ca-HepPh,3,6,ARB,TIMEOUT,-1,-1,3600.1145651340485,-1,0
ca-CondMat,6,7,ARB-Hi,OK,12.385868,12.4,12.44,119.57421875,0
ca-CondMat,5,7,ARB-Hi,OK,61.909156,61.94,61.96,69.875,0
ca-CondMat,6,8,ARB-Hi,OK,220.101777,220.09,220.15,122.26953125,0
ca-CondMat,3,8,ARB-Hi,OK,452.927297,452.94,452.95,27.515625,0
ca-CondMat,7,10,ARB,OK,1281.818554,1281.73,1281.85,220.109375,0
ca-HepPh,4,5,ARB-Hi,TIMEOUT,-1,-1,3600.5501475334167,-1,0
ca-CondMat,5,8,ARB-Hi,OK,662.273666,662.26,662.3,70.65234375,0
ca-CondMat,7,8,ARB-Hi,OK,30.484319,30.46,30.52,200.4609375,0
ca-CondMat,4,8,ARB-Hi,OK,768.615897,768.63,768.66,36.60546875,0
ca-HepPh,5,6,ARB-Hi,TIMEOUT,-1,-1,3605.3409225940704,-1,0
com-dblp,3,4,ARB,OK,6.473156,6.75,6.86,301.44921875,0
ca-HepPh,7,8,ARB-Hi,TIMEOUT,-1,-1,3600.1093711853027,-1,0
com-dblp,4,5,ARB,OK,224.230078,222.98,224.69,1798.0234375,0
com-dblp,3,5,ARB,OK,416.107495,416.37,416.5,301.69140625,0
ca-CondMat,3,11,ARB,OK,1319.256858,1319.25,1319.28,36.34765625,0
ca-CondMat,4,10,ARB,OK,2479.627156,2479.62,2479.67,46.92578125,0
ca-CondMat,7,9,ARB-Hi,OK,737.040474,737.0,737.07,189.93359375,0
ca-CondMat,3,9,ARB-Hi,OK,1673.875842,1673.87,1673.9,27.7421875,0
ca-CondMat,6,10,ARB,OK,3334.050264,3333.99,3334.1,131.8203125,0
ca-CondMat,5,10,ARB,TIMEOUT,-1,-1,3600.1030945777893,-1,0
ca-CondMat,6,9,ARB-Hi,OK,2802.449274,2802.41,2802.48,122.859375,0
ca-CondMat,3,12,ARB,OK,2317.166578,2317.17,2317.21,36.40625,0
ca-CondMat,7,11,ARB,TIMEOUT,-1,-1,3600.1208684444427,-1,0
