graph,s,algo,status,wall_ms,took_ms,time_max_rss_kB,time_user_sec,time_sys_sec,time_elapsed,time_pagefaults_major,time_pagefaults_minor,time_voluntary_ctxt,time_involuntary_ctxt,time_exit_status
com-dblp,2,LOCAL_V4,OK,3222.0,384.515,110804,1.65,0.08,0:01.74,0,38673,1,3,0
com-dblp,3,LOCAL_V4,OK,3118.7,527.304,107492,1.73,0.09,0:01.84,0,37270,1,3,0
com-dblp,4,LOCAL_V4,OK,3221.7,322.266,98872,1.43,0.04,0:01.47,0,30787,1,1,0
com-dblp,5,LOCAL_V4,OK,3117.8,154.156,93964,1.02,0.06,0:01.08,0,28612,1,2,0
com-dblp,6,LOCAL_V4,OK,3221.9,128.15,91700,1.21,0.06,0:01.27,0,27388,1,2,0
com-dblp,7,LOCAL_V4,OK,3117.8,74.8765,90436,1.03,0.07,0:01.11,0,26731,1,1,0
com-dblp,8,LOCAL_V4,OK,3221.9,74.73,89364,1.13,0.06,0:01.20,0,26356,1,1,0
com-dblp,9,LOCAL_V4,OK,3117.7,50.657,89180,0.92,0.03,0:00.96,0,26141,1,1,0
com-dblp,10,LOCAL_V4,OK,3222.0,55.7309,88736,1.13,0.04,0:01.17,0,25988,1,2,0
com-dblp,11,LOCAL_V4,OK,3117.8,41.544,88768,0.90,0.06,0:00.96,0,25888,1,2,0
com-dblp,12,LOCAL_V4,OK,3222.0,46.7933,88240,1.10,0.05,0:01.16,0,25817,1,1,0
com-dblp,13,LOCAL_V4,OK,3117.7,35.7688,88348,0.92,0.03,0:00.95,0,25757,1,2,0
com-dblp,14,LOCAL_V4,OK,3222.0,41.5738,88172,1.11,0.04,0:01.15,0,25712,1,1,0
com-dblp,15,LOCAL_V4,OK,3117.9,33.0811,88388,0.92,0.04,0:00.96,0,25674,1,1,0
com-dblp,16,LOCAL_V4,OK,3221.9,39.9201,88192,1.08,0.06,0:01.15,0,25645,1,2,0
com-dblp,17,LOCAL_V4,OK,3117.7,30.9507,88152,0.89,0.05,0:00.94,0,25617,1,1,0
com-dblp,18,LOCAL_V4,OK,3222.0,37.0681,88216,1.11,0.04,0:01.15,0,25594,1,2,0
com-dblp,19,LOCAL_V4,OK,3117.9,28.0139,88140,0.92,0.04,0:00.96,0,25579,1,1,0
com-dblp,20,LOCAL_V4,OK,3221.9,33.9941,88064,1.08,0.06,0:01.14,0,25568,1,2,0
com-dblp,21,LOCAL_V4,OK,3117.8,26.7226,87968,0.89,0.05,0:00.94,0,25550,1,2,0
com-dblp,22,LOCAL_V4,OK,3222.0,33.3488,88096,1.13,0.04,0:01.17,0,25539,1,3,0
com-dblp,23,LOCAL_V4,OK,3117.9,24.9224,87896,0.93,0.02,0:00.96,0,25522,1,1,0
com-dblp,24,LOCAL_V4,OK,3221.8,30.9575,88032,1.07,0.06,0:01.14,0,25516,1,1,0
com-dblp,25,LOCAL_V4,OK,3117.7,24.348,88076,0.90,0.04,0:00.94,0,25510,1,1,0
com-dblp,26,LOCAL_V4,OK,3222.0,29.0497,87992,1.13,0.04,0:01.17,0,25501,1,2,0
com-dblp,27,LOCAL_V4,OK,3117.8,22.8677,87932,0.90,0.04,0:00.94,0,25490,1,1,0
com-dblp,28,LOCAL_V4,OK,3221.9,27.7931,87732,1.14,0.02,0:01.16,0,25478,1,2,0
com-dblp,29,LOCAL_V4,OK,3117.7,22.7801,88108,0.91,0.04,0:00.96,0,25476,1,1,0
com-dblp,30,LOCAL_V4,OK,3221.9,26.2292,87856,1.13,0.03,0:01.17,0,25466,1,1,0
com-amazon.ungraph,2,LOCAL_V4,OK,3117.7,208.235,119340,0.96,0.06,0:01.02,0,40613,1,1,0
com-amazon.ungraph,3,LOCAL_V4,OK,3222.0,279.875,107648,1.16,0.07,0:01.23,0,36528,1,3,0
com-amazon.ungraph,4,LOCAL_V4,OK,3117.7,104.021,98292,0.81,0.05,0:00.86,0,29597,1,2,0
com-amazon.ungraph,5,LOCAL_V4,OK,3221.9,38.9649,93904,0.88,0.05,0:00.94,0,27388,1,1,0
com-amazon.ungraph,6,LOCAL_V4,OK,3117.8,5.69787,91624,0.71,0.03,0:00.75,0,26350,1,1,0
com-amazon.ungraph,7,LOCAL_V4,OK,3222.0,2.51437,91228,0.94,0.07,0:01.01,0,26141,1,1,0
com-amazon.ungraph,8,LOCAL_V4,OK,3117.8,2.50812,91228,0.95,0.07,0:01.03,0,26141,1,1,0
com-amazon.ungraph,9,LOCAL_V4,OK,3222.1,2.47641,91424,0.94,0.06,0:01.00,0,26145,1,1,0
