graph,s,algo,status,wall_ms,total_ms,build_ms,peel_ms,hier_ms,mem_kB
com-amazon.ungraph,3,ST_V3,OK,1383.7,111.7,361.8,111.7,-1.0,115140
com-amazon.ungraph,5,ST_V3,OK,1172.3,15.8,274.7,15.8,-1.0,98312
com-amazon.ungraph,5,ST_V3_HIER,OK,1281.7,86.3,289.6,16.0,70.2,106592
com-amazon.ungraph,7,ST_V3,OK,1177.4,4.1,271.5,4.1,-1.0,95236
com-amazon.ungraph,7,ST_V3_HIER,OK,1178.6,6.9,273.1,4.3,2.6,95072
com-amazon.ungraph,3,ST_V3_HIER,OK,1711.4,481.4,369.1,95.2,386.2,162296
com-amazon.ungraph,9,ST_V3,OK,1187.4,4.2,278.3,4.2,-1.0,94652
com-amazon.ungraph,9,ST_V3_HIER,OK,1188.1,4.2,270.4,4.1,0.0,94732
com-amazon.ungraph,11,ST_V3,OK,1189.1,4.3,275.3,4.2,-1.0,94636
com-amazon.ungraph,11,ST_V3_HIER,OK,1189.8,4.2,268.9,4.1,0.0,94756
com-amazon.ungraph,13,ST_V3,OK,1190.5,4.6,246.9,4.5,-1.0,94648
com-amazon.ungraph,13,ST_V3_HIER,OK,1083.4,4.1,226.2,4.0,0.0,94652
com-amazon.ungraph,15,ST_V3,OK,1083.1,4.0,225.8,4.0,-1.0,94588
com-amazon.ungraph,15,ST_V3_HIER,OK,1189.9,4.4,248.4,4.3,0.0,94520
com-dblp,3,ST_V3,OK,1621.4,104.9,529.0,104.9,-1.0,113584
com-dblp,5,ST_V3,OK,1512.2,39.2,459.8,39.2,-1.0,99280
com-dblp,5,ST_V3_HIER,OK,1613.3,191.4,473.6,40.9,150.5,119604
com-dblp,7,ST_V3,OK,1508.1,14.3,458.1,14.2,-1.0,94128
com-dblp,7,ST_V3_HIER,OK,1508.0,70.1,455.1,14.1,56.0,99328
com-dblp,9,ST_V3,OK,1401.7,8.0,448.8,8.0,-1.0,92548
com-dblp,3,ST_V3_HIER,OK,2057.0,518.0,543.7,103.8,414.1,168196
com-dblp,9,ST_V3_HIER,OK,1408.0,36.9,423.2,8.1,28.7,94992
com-dblp,11,ST_V3,OK,1408.3,6.0,438.7,6.0,-1.0,92424
com-dblp,11,ST_V3_HIER,OK,1301.4,24.2,399.9,6.1,18.0,93144
com-dblp,13,ST_V3,OK,1409.0,5.4,430.6,5.4,-1.0,92296
com-dblp,13,ST_V3_HIER,OK,1408.7,17.4,403.1,4.8,12.6,92312
com-dblp,15,ST_V3,OK,1409.3,5.0,415.6,5.0,-1.0,91976
com-dblp,15,ST_V3_HIER,OK,1410.2,14.8,398.7,4.8,9.9,92056
com-youtube,3,ST_V3,OK,6453.1,242.8,3428.3,242.8,-1.0,399104
com-youtube,5,ST_V3,OK,6237.1,155.2,3572.8,155.2,-1.0,395796
web-Stanford,5,ST_V3,OK,7854.3,136.8,6329.6,136.7,-1.0,255556
web-Stanford,7,ST_V3,OK,7639.1,99.3,6164.6,99.3,-1.0,182072
web-Stanford,9,ST_V3,OK,7424.6,63.7,6020.3,63.7,-1.0,150216
web-Stanford,3,ST_V3,OK,8180.1,134.9,6627.6,134.9,-1.0,188884
web-Stanford,11,ST_V3,OK,7426.3,49.3,6015.7,49.3,-1.0,150016
web-Stanford,9,ST_V3_HIER,OK,7750.1,354.4,6060.5,61.7,292.6,193456
web-Stanford,13,ST_V3,OK,7432.4,37.5,6011.3,37.5,-1.0,124492
web-Stanford,15,ST_V3,OK,7430.9,29.3,6052.1,29.2,-1.0,118592
com-youtube,5,ST_V3_HIER,OK,6890.8,1015.5,3434.6,154.1,861.4,539184
web-Stanford,3,ST_V3_HIER,OK,8734.9,1141.0,6192.8,127.7,1013.3,363496
web-Stanford,7,ST_V3_HIER,OK,8318.4,701.6,6166.2,98.2,603.3,288792
web-Stanford,13,ST_V3_HIER,OK,7680.5,228.6,6019.8,37.0,191.6,158816
web-Stanford,5,ST_V3_HIER,OK,8648.9,960.3,6257.5,135.6,824.6,344788
com-youtube,3,ST_V3_HIER,OK,7369.9,1491.3,3485.2,245.1,1243.9,610084
web-Stanford,15,ST_V3_HIER,OK,7813.1,178.6,6262.9,29.6,149.0,145756
web-Stanford,11,ST_V3_HIER,OK,8354.5,289.8,6670.8,49.4,240.4,175516
twitter_combined,3,ST_V3,OK,17538.2,379.1,13413.3,379.1,-1.0,342916
twitter_combined,3,ST_V3_HIER,OK,17430.1,2664.6,13009.9,367.5,2297.1,674592
com-youtube,7,ST_V3,OK,8068.9,76.3,3479.4,76.3,-1.0,347632
com-youtube,7,ST_V3_HIER,OK,7959.6,477.0,3550.9,75.4,401.5,412724
com-youtube,9,ST_V3,OK,7854.7,32.3,3370.5,32.3,-1.0,319772
com-youtube,9,ST_V3_HIER,OK,7746.5,165.6,3392.7,32.3,133.3,337060
com-youtube,11,ST_V3,OK,7639.9,15.9,3403.1,15.9,-1.0,307664
com-youtube,11,ST_V3_HIER,OK,7529.1,50.1,3317.4,15.6,34.5,310844
com-youtube,13,ST_V3,OK,7421.9,10.7,3319.8,10.7,-1.0,304092
com-youtube,13,ST_V3_HIER,OK,7302.4,21.7,3378.0,11.4,10.3,304036
com-youtube,15,ST_V3,OK,7172.1,9.5,3381.0,9.5,-1.0,301340
com-youtube,15,ST_V3_HIER,OK,7040.0,16.2,3377.6,9.6,6.6,303188
web-Google,3,ST_V3,OK,6932.7,352.4,2983.5,352.4,-1.0,344316
web-Google,5,ST_V3,OK,6710.5,269.3,2793.6,269.3,-1.0,310640
web-Google,7,ST_V3,OK,6495.0,184.6,2754.0,184.6,-1.0,291668
web-Google,7,ST_V3_HIER,OK,6387.0,660.0,2677.2,185.9,474.1,361040
web-Google,9,ST_V3,OK,6281.6,132.7,2702.9,132.7,-1.0,277472
web-Google,9,ST_V3_HIER,OK,6173.5,438.3,2609.9,117.4,320.8,320688
web-Google,5,ST_V3_HIER,OK,6927.1,1218.9,2769.9,324.6,894.3,397428
web-Google,3,ST_V3_HIER,OK,7265.4,1538.3,3002.1,344.3,1194.0,519916
web-Google,11,ST_V3,OK,5187.7,80.6,2492.7,80.6,-1.0,266652
web-Google,11,ST_V3_HIER,OK,8206.1,292.4,2633.2,80.0,212.3,303676
web-Google,13,ST_V3,OK,8103.5,47.9,2591.2,47.8,-1.0,258080
web-Google,13,ST_V3_HIER,OK,7985.0,177.0,2617.4,48.2,128.8,276376
web-Google,15,ST_V3,OK,7864.8,27.6,2570.8,27.6,-1.0,252484
web-Google,15,ST_V3_HIER,OK,7758.0,100.2,2834.6,27.9,72.3,258112
twitter_combined,5,ST_V3,OK,35278.7,1468.4,31292.4,1468.4,-1.0,3306644
twitter_combined,5,ST_V3_HIER,OK,50370.5,16179.1,31325.0,1482.1,14696.9,4149316
twitter_combined,7,ST_V3,OK,56472.9,3245.3,51803.9,3245.2,-1.0,8621136
wiki-Talk,3,ST_V3,OK,50840.4,405.4,45248.5,403.2,-1.0,931184
wiki-Talk,3,ST_V3_HIER,OK,53860.5,4546.6,45155.2,400.0,4146.6,1625920
twitter_combined,9,ST_V3,OK,77737.5,4498.1,70668.3,4498.1,-1.0,13546132
twitter_combined,13,ST_V3,OK,77306.2,4394.2,70999.0,4394.2,-1.0,15066196
twitter_combined,11,ST_V3,OK,80756.6,4506.8,74159.4,4506.8,-1.0,15231428
twitter_combined,15,ST_V3,OK,80324.3,4135.1,72990.7,4135.1,-1.0,14639628
twitter_combined,7,ST_V3_HIER,OK,93369.4,39964.1,51399.2,3246.0,36718.1,10129276
twitter_combined,9,ST_V3_HIER,OK,126613.9,52808.0,70650.7,4407.7,48400.3,14584556
twitter_combined,13,ST_V3_HIER,OK,126385.1,53836.3,70961.9,4386.9,49449.4,15564348
