graph,r,s,regions,tuples,rn_mce_s,rn_support_s,rn_total_s,rn_verify,cpi_sdct_s,cpi_mcenum_s,cpi_count_s,cpi_pathinfo_s,cpi_total_s,speedup
dblp-core30,3,4,68,768,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,5,62,752,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,6,58,579,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,7,52,364,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,8,50,351,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,9,48,346,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,10,48,346,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,11,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,12,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,13,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,14,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,15,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,16,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,17,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,18,47,344,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,19,47,344,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,3,20,47,344,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,5,62,1864,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,6,58,1257,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,7,52,700,0.01,0.0,0.01,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,8,50,689,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,9,48,683,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,10,48,683,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,11,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,12,47,681,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,13,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,14,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,15,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,16,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,17,47,681,0.03,0.0,0.03,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,18,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,19,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,4,20,47,681,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,5,6,58,2301,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,5,7,52,1197,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,5,8,50,1189,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,5,9,48,1182,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
dblp-core30,5,10,48,1182,0.02,0.0,0.02,?,-0.001,-0.001,-0.001,-0.001,-1,-1
