graph,r,s,sct_build_s,sct_peel_s,sct_total_s,v3lm_total_s,cnd_total_s,core_bins,core_match,sct_vs_cnd,v3lm_vs_cnd
bio-celegans,3,4,0.01,0.01,0.02,0.025,0.024,6,EXACT,1.22,0.96
bio-celegans,4,5,0.0,0.01,0.01,0.026,0.021,5,EXACT,2.09,0.82
bio-celegans,5,7,0.0,0.0,0.01,0.026,0.021,3,EXACT,2.08,0.8
bio-celegans,6,8,0.0,0.0,0.0,0.026,0.021,2,EXACT,-1,0.8
bio-celegans,7,10,-1,-1,-1,0.022,0.02,0,EXACT,-1,0.93
bio-celegans,7,12,-1,-1,-1,0.021,0.02,0,EXACT,-1,0.96
ca-GrQc,3,4,0.04,0.28,0.32,0.048,0.047,24,EXACT,0.15,0.97
ca-GrQc,4,5,0.12,1.09,1.23,0.187,0.179,23,EXACT,0.15,0.96
ca-GrQc,5,7,0.05,0.87,0.94,0.088,1.328,21,EXACT,1.41,15.04
ca-GrQc,6,8,0.04,0.6,0.65,0.104,11.111,20,EXACT,17.09,106.81
ca-GrQc,7,10,0.0,0.0,0.01,0.028,-1,18,CND_TIMEOUT,-1,-1
ca-GrQc,7,12,0.0,0.0,0.01,0.027,-1,16,CND_TIMEOUT,-1,-1
ca-HepTh,3,4,0.01,0.01,0.03,0.046,0.038,11,EXACT,1.28,0.84
ca-HepTh,4,5,0.0,0.0,0.01,0.038,0.051,10,EXACT,5.08,1.33
ca-HepTh,5,7,0.0,0.0,0.01,0.033,0.137,8,EXACT,13.71,4.2
ca-HepTh,6,8,-1,-1,-1,0.032,0.587,7,EXACT,-1,18.5
ca-HepTh,7,10,-1,-1,-1,0.03,2.896,5,EXACT,-1,97.31
ca-HepTh,7,12,-1,-1,-1,0.03,2.736,4,EXACT,-1,91.21
ca-CondMat,3,4,0.2,0.37,0.65,0.208,0.143,19,EXACT,0.22,0.68
ca-CondMat,4,5,0.27,0.67,1.03,0.336,0.184,18,EXACT,0.18,0.55
ca-CondMat,5,7,0.27,1.31,1.67,0.515,0.261,16,EXACT,0.16,0.51
ca-CondMat,6,8,0.25,1.44,1.77,0.747,0.458,15,EXACT,0.26,0.61
ca-CondMat,7,10,0.13,1.05,1.25,0.931,1.159,13,EXACT,0.93,1.24
ca-CondMat,7,12,0.09,0.82,0.97,1.278,1.151,11,EXACT,1.19,0.9
ca-AstroPh,3,4,-1,-1,-1,27.378,1.702,0,SCT_TIMEOUT,-1,0.06
ca-AstroPh,4,5,-1,-1,-1,-1,10.81,0,SCT_TIMEOUT,-1,-1
ca-AstroPh,5,7,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-AstroPh,6,8,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-AstroPh,7,10,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-AstroPh,7,12,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-HepPh,3,4,-1,-1,-1,-1,4.727,0,SCT_TIMEOUT,-1,-1
ca-HepPh,4,5,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-HepPh,5,7,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-HepPh,6,8,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-HepPh,7,10,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
ca-HepPh,7,12,-1,-1,-1,-1,-1,0,SCT_TIMEOUT,-1,-1
dblp-core30,3,4,0.01,0.01,0.03,0.087,0.583,29,EXACT,19.42,6.7
dblp-core30,4,5,0.01,0.04,0.06,0.092,12.73,28,EXACT,212.17,137.71
dblp-core30,5,7,0.02,0.04,0.07,0.1,-1,26,CND_TIMEOUT,-1,-1
dblp-core30,6,8,0.03,0.09,0.13,0.104,-1,25,CND_TIMEOUT,-1,-1
dblp-core30,7,10,0.05,0.29,0.36,0.112,-1,24,CND_TIMEOUT,-1,-1
dblp-core30,7,12,0.07,0.73,0.81,0.149,-1,23,CND_TIMEOUT,-1,-1
amazon0302,3,4,0.92,0.83,2.31,1.767,1.252,4,EXACT,0.54,0.71
amazon0302,4,5,0.14,0.12,0.61,0.947,0.94,3,EXACT,1.54,0.99
amazon0302,5,7,-1,-1,-1,0.623,0.517,1,EXACT,-1,0.83
amazon0302,6,8,-1,-1,-1,0.563,0.595,0,EXACT,-1,1.06
amazon0302,7,10,-1,-1,-1,0.688,0.525,0,EXACT,-1,0.76
amazon0302,7,12,-1,-1,-1,0.585,0.433,0,EXACT,-1,0.74
