graph,r,s,tier,algo,status,wall_ms,total_ms,step4_ms,peel_ms,mem_kB,max_core
ca-GrQc,3,4,1,T1,OK,4877.7,4763.0,123.0,4632.0,12120,41
ca-GrQc,3,4,2,T2,OK,5109.5,4996.0,8.0,4980.0,12096,41
ca-GrQc,3,4,3,T3,OK,157.7,55.0,6.0,44.0,12024,41
ca-GrQc,3,4,4,T4,OK,118.3,44.0,6.0,34.0,11140,41
ca-GrQc,5,6,1,T1,OK,153125.8,153054.0,5639.0,147368.0,21964,39
ca-GrQc,5,6,2,T2,OK,149323.5,149211.0,84.0,149071.0,20184,39
ca-GrQc,5,6,3,T3,OK,3667.2,3554.0,86.0,3412.0,20256,39
ca-GrQc,5,6,4,T4,OK,1781.3,1680.0,47.0,1595.0,17564,39
ca-GrQc,8,9,1,T1,TIMEOUT,3600000.0,,,,,
ca-GrQc,8,9,2,T2,TIMEOUT,3600000.0,,,,,
ca-GrQc,8,9,3,T3,OK,150.0,42.0,9.0,19.0,10620,36
ca-GrQc,8,9,4,T4,OK,134.8,25.0,6.0,10.0,10192,36
ca-CondMat,3,4,1,T1,OK,9219.2,8977.0,101.0,8794.0,41816,23
ca-CondMat,3,4,2,T2,OK,9235.7,8997.0,63.0,8856.0,38092,23
ca-CondMat,3,4,3,T3,OK,517.9,341.0,52.0,231.0,37920,23
ca-CondMat,3,4,4,T4,OK,550.5,281.0,39.0,184.0,31788,23
ca-CondMat,5,6,1,T1,OK,17352.0,17144.0,314.0,16633.0,50968,21
ca-CondMat,5,6,2,T2,OK,17318.0,17094.0,207.0,16647.0,45608,21
ca-CondMat,5,6,3,T3,OK,1453.3,1287.0,163.0,940.0,45616,21
ca-CondMat,5,6,4,T4,OK,1223.5,998.0,119.0,706.0,32136,21
ca-CondMat,7,8,1,T1,OK,42706.2,42494.0,1452.0,40355.0,48648,19
ca-CondMat,7,8,2,T2,OK,41828.8,41616.0,457.0,40451.0,42984,19
ca-CondMat,7,8,3,T3,OK,2896.9,2685.0,456.0,1490.0,43176,19
ca-CondMat,7,8,4,T4,OK,2206.4,1993.0,262.0,1199.0,27956,19
com-dblp,3,4,1,T1,OK,877389.9,875567.0,4372.0,870551.0,301976,111
com-dblp,3,4,2,T2,OK,875937.9,874108.0,699.0,872817.0,280544,111
com-dblp,3,4,3,T3,OK,37017.6,35175.0,692.0,33994.0,266796,111
com-dblp,3,4,4,T4,OK,5897.7,4052.0,326.0,3273.0,184328,111
com-dblp,5,6,1,T1,TIMEOUT(skip),3600000.0,,,,,
com-dblp,5,6,2,T2,TIMEOUT,3600000.0,,,,,
com-dblp,5,6,3,T3,TIMEOUT,3600000.0,,,,,
com-dblp,5,6,4,T4,OK,227351.0,225666.0,4748.0,219147.0,580988,109
com-dblp,7,8,1,T1,TIMEOUT(skip),3600000.0,,,,,
com-dblp,7,8,2,T2,TIMEOUT,3600000.0,,,,,
com-dblp,7,8,3,T3,TIMEOUT,3600000.0,,,,,
com-dblp,7,8,4,T4,TIMEOUT,3600000.0,,,,,
ca-HepPh,3,4,1,T1,TIMEOUT,3600000.0,,,,,
ca-HepPh,3,4,2,T2,TIMEOUT,3600000.0,,,,,
ca-HepPh,3,4,3,T3,OK,1155762.4,1154196.0,19915.0,1133233.0,1203976,236
ca-HepPh,3,4,4,T4,OK,384496.5,382897.0,9522.0,372260.0,720464,236
ca-HepPh,6,7,1,T1,TIMEOUT(skip),3600000.0,,,,,
ca-HepPh,6,7,2,T2,TIMEOUT,3600000.0,,,,,
ca-HepPh,6,7,3,T3,TIMEOUT,3600000.0,,,,,
ca-HepPh,6,7,4,T4,TIMEOUT,3600000.0,,,,,
ca-HepPh,10,11,1,T1,TIMEOUT(skip),3600000.0,,,,,
ca-HepPh,10,11,2,T2,TIMEOUT,3600000.0,,,,,
ca-HepPh,10,11,3,T3,TIMEOUT,3600000.0,,,,,
ca-HepPh,10,11,4,T4,TIMEOUT,3600000.0,,,,,
web-it-2004,3,4,1,T1,TIMEOUT(skip),3600000.0,,,,,
web-it-2004,3,4,2,T2,TIMEOUT,3600000.0,,,,,
web-it-2004,3,4,3,T3,OK,173093.5,3823.0,697.0,2343.0,509724,429
web-it-2004,3,4,4,T4,OK,188285.4,3032.0,471.0,1823.0,405952,429
web-it-2004,5,6,1,T1,TIMEOUT(skip),3600000.0,,,,,
web-it-2004,5,6,2,T2,TIMEOUT,3600000.0,,,,,
web-it-2004,5,6,3,T3,OK,212140.1,34627.0,3046.0,27584.0,899884,427
web-it-2004,5,6,4,T4,OK,201187.8,32489.0,2417.0,26119.0,784948,427
web-it-2004,7,8,1,T1,TIMEOUT(skip),3600000.0,,,,,
web-it-2004,7,8,2,T2,TIMEOUT,3600000.0,,,,,
web-it-2004,7,8,3,T3,OK,912910.5,741412.0,9005.0,715521.0,1496700,425
web-it-2004,7,8,4,T4,OK,892478.9,721405.0,9712.0,695101.0,1416044,425
dblp-core30,3,4,1,T1,OK,85592.8,85344.0,2960.0,82381.0,10388,111
dblp-core30,3,4,2,T2,OK,84673.9,84426.0,6.0,84418.0,10576,111
dblp-core30,3,4,3,T3,OK,265.6,19.0,6.0,11.0,10380,111
dblp-core30,3,4,4,T4,OK,255.3,9.0,2.0,5.0,9952,111
dblp-core30,6,7,1,T1,TIMEOUT(skip),3600000.0,,,,,
dblp-core30,6,7,2,T2,TIMEOUT,3600000.0,,,,,
dblp-core30,6,7,3,T3,OK,650.2,403.0,86.0,307.0,13904,108
dblp-core30,6,7,4,T4,OK,281.1,37.0,12.0,18.0,10648,108
dblp-core30,9,10,1,T1,TIMEOUT(skip),3600000.0,,,,,
dblp-core30,9,10,2,T2,TIMEOUT,3600000.0,,,,,
dblp-core30,9,10,3,T3,OK,3645.6,3401.0,811.0,2518.0,28760,105
dblp-core30,9,10,4,T4,OK,428.6,182.0,71.0,72.0,12932,105
