graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
com-dblp,3,4,ST,OK,5032.8,2339.5,,,,766616
com-dblp,3,5,ST,OK,4028.2,2471.0,,,,674400
com-dblp,3,4,V3,OK,9062.2,6648.0,,4123.0,,581304
com-dblp,3,5,V3,OK,7049.7,4791.0,,3459.0,,385188
com-dblp,3,6,ST,OK,4027.6,1830.6,,,,607540
com-dblp,3,5,V3_NP,OK,10069.3,7934.0,,5989.0,,700428
com-dblp,3,4,V3_NP,OK,14099.2,12067.0,,8510.0,,1030972
com-dblp,3,6,V3,OK,6042.5,3650.0,,3014.0,,254068
com-dblp,3,6,V3_NP,OK,10069.5,7639.0,,6302.0,,496380
com-dblp,3,7,ST,OK,4026.8,2265.2,,,,548016
com-dblp,3,7,V3,OK,5031.6,2855.0,,2388.0,,200228
com-dblp,3,7,V3_NP,OK,7043.6,5533.0,,4768.0,,340760
com-dblp,3,8,ST,OK,4026.5,2270.4,,,,506008
com-dblp,3,8,V3,OK,4027.2,2216.0,,1915.0,,148044
com-dblp,4,5,V3,OK,30205.3,27844.0,,24052.0,,1144472
com-dblp,3,8,V3_NP,OK,6043.1,3702.0,,3199.0,,162776
com-dblp,4,6,V3,OK,27185.3,25514.0,,22778.0,,861028
com-dblp,4,7,V3,OK,23156.6,20924.0,,18933.0,,675156
com-dblp,3,9,ST,OK,3019.8,1883.2,,,,475852
com-dblp,3,9,V3,OK,4027.2,1819.0,,1618.0,,115680
com-dblp,3,9,V3_NP,OK,5035.2,2950.0,,2574.0,,142372
com-dblp,4,5,ST,OK,50345.8,45903.3,,,,2685072
com-dblp,4,6,ST,OK,48327.2,45426.9,,,,2631044
com-dblp,4,8,V3,OK,27185.5,24591.0,,23371.0,,409112
com-dblp,4,7,ST,OK,47310.2,43595.4,,,,2581020
com-dblp,4,9,V3,OK,23139.8,20132.0,,19292.0,,217888
com-dblp,4,7,V3_NP,OK,56359.3,53617.0,,49048.0,,1831216
com-dblp,4,6,V3_NP,OK,69447.7,65589.0,,59338.0,,2318884
com-dblp,4,8,ST,OK,50320.6,46368.0,,,,2518084
com-dblp,4,5,V3_NP,OK,80522.2,76708.0,,67952.0,,3312936
com-dblp,4,8,V3_NP,OK,57360.1,54922.0,,52023.0,,973528
com-dblp,4,9,V3_NP,OK,46274.8,42652.0,,40327.0,,317960
com-dblp,4,9,ST,OK,52313.4,47878.6,,,,2685384
com-dblp,3,10,ST,OK,4022.6,2035.3,,,,450472
com-dblp,3,10,V3,OK,5028.9,1334.0,,1178.0,,103296
com-dblp,3,10,V3_NP,OK,4022.6,2246.0,,1940.0,,114032
com-dblp,4,10,V3,OK,19100.0,15950.0,,15287.0,,171008
com-dblp,4,10,V3_NP,OK,31137.1,27695.0,,25689.0,,254616
com-dblp,4,10,ST,OK,54263.1,50475.0,,,,2694516
com-dblp,5,8,V3,OK,153642.3,124281.0,,118363.0,,1159492
com-dblp,5,9,V3,OK,138534.2,114474.0,,110517.0,,797728
com-dblp,5,7,V3,OK,189853.4,185354.0,,176655.0,,2078060
com-dblp,5,6,V3,OK,235105.6,230514.0,,217588.0,,3104624
com-dblp,5,8,V3_NP,OK,339542.9,336911.0,,321439.0,,4332404
com-dblp,5,6,V3_NP,OOM,420997.6,,,,,
com-dblp,5,7,V3_NP,OOM,411939.7,,,,,
com-dblp,6,7,V3,OOM,409925.4,,,,,
com-dblp,6,7,V3_NP,OOM,408920.5,,,,,
com-dblp,6,8,V3,OOM,397840.3,,,,,
com-dblp,6,8,V3_NP,OOM,396833.5,,,,,
com-dblp,7,8,ST,OOM,395826.7,,,,,
com-dblp,7,8,V3,OOM,394819.9,,,,,
com-dblp,7,8,V3_NP,OOM,393813.1,,,,,
com-dblp,5,6,ST,OOM,427036.8,,,,,
com-dblp,5,7,ST,OOM,417975.7,,,,,
com-dblp,5,8,ST,OOM,405895.4,,,,,
com-dblp,6,7,ST,OOM,420998.1,,,,,
com-dblp,6,8,ST,OOM,409921.0,,,,,
com-dblp,3,11,ST,OK,4026.6,2011.4,,,,446964
com-dblp,3,11,V3,OK,3020.4,1297.0,,1158.0,,98360
com-dblp,4,11,V3,OK,19099.4,15348.0,,14633.0,,250492
com-dblp,4,11,V3_NP,OK,28148.0,24420.0,,22628.0,,679600
com-dblp,4,11,ST,OK,52279.4,47411.3,,,,2694224
com-dblp,5,10,V3,OK,118628.1,114311.0,,110430.0,,838408
com-dblp,5,10,V3_NP,OK,255994.0,253869.0,,243619.0,,2989160
com-dblp,6,9,V3,OK,318116.3,313948.0,,297119.0,,2443160
com-dblp,5,9,V3_NP,OK,325151.5,323072.0,,312041.0,,3203628
com-dblp,6,10,V3,OK,444962.6,440942.0,,425344.0,,1811092
com-dblp,5,10,ST,TIMEOUT,,,,,,
com-dblp,7,9,ST,TIMEOUT,,,,,,
com-dblp,7,9,V3,TIMEOUT,,,,,,
com-dblp,7,9,V3_NP,TIMEOUT,,,,,,
com-dblp,8,9,ST,TIMEOUT,,,,,,
com-dblp,8,9,V3,TIMEOUT,,,,,,
com-dblp,8,9,V3_NP,TIMEOUT,,,,,,
com-dblp,5,9,ST,TIMEOUT,,,,,,
com-dblp,6,9,ST,TIMEOUT,,,,,,
com-dblp,6,9,V3_NP,TIMEOUT,,,,,,
com-dblp,7,10,V3,TIMEOUT,,,,,,
com-dblp,7,10,ST,TIMEOUT,,,,,,
com-dblp,6,10,V3_NP,TIMEOUT,,,,,,
com-dblp,6,10,ST,TIMEOUT,,,,,,
