graph,r,s,classes,tuples,rcliques,wall_s,error
com-dblp,3,10,1830,31454,167908,2.0,
com-dblp,4,10,1633,133074,1610627,7.1,
com-dblp,5,10,1464,528500,17441294,46.4,
com-dblp,6,10,1334,2125896,180593535,269.0,
com-dblp,7,10,1191,7753106,1669809785,1082.3,
com-dblp,8,10,,,,0.0,timeout after 1200s
com-dblp,9,10,,,,0.0,timeout after 1200s
ca-CondMat,3,10,618,8201,18664,0.3,
ca-CondMat,4,10,571,17227,54202,0.6,
ca-CondMat,5,10,491,27394,136234,1.6,
ca-CondMat,6,10,394,34968,337225,2.5,
ca-CondMat,7,10,350,38874,797886,2.2,
ca-CondMat,8,10,286,37483,1731705,2.1,
ca-CondMat,9,10,246,28385,3315815,2.2,
