graph,r,s,classes,tuples,rcliques,wall_s,error
ca-GrQc,3,10,30,116,17495,0.1,
ca-GrQc,4,10,30,217,158862,0.0,
ca-GrQc,5,10,28,157,1182130,0.0,
ca-GrQc,6,10,28,195,7343449,0.0,
ca-GrQc,7,10,24,229,38686836,0.0,
ca-GrQc,8,10,24,265,175139561,0.0,
ca-GrQc,9,10,21,299,688908212,0.0,
ca-HepPh,3,10,769,732215,1153624,53.8,
dblp-core30,3,10,45,534,68136,0.1,
dblp-core30,4,10,45,1228,881244,0.1,
dblp-core30,5,10,45,2352,9575051,0.1,
dblp-core30,6,10,45,3965,89398990,0.1,
dblp-core30,7,10,45,6074,725232126,0.1,
dblp-core30,8,10,45,8651,5151988696,0.1,
dblp-core30,9,10,45,11658,32289609474,0.2,
web-it-2004,3,10,52262,306756,185404451,manual,
web-it-2004,4,10,52262,515147,16388583385,manual,
web-it-2004,5,10,52262,808630,1206562943437,manual,
web-it-2004,6,10,52262,1291320,74956427478677,manual,
web-it-2004,7,10,52262,2163551,4020480373618611,manual,
ca-HepPh,4,10,742,22626530,40885412,manual,
com-dblp,3,10,1830,31454,167908,2.0,
com-dblp,4,10,1633,133074,1610627,7.1,
com-dblp,5,10,1464,528500,17441294,46.4,
com-dblp,6,10,1334,2125896,180593535,269.0,
com-dblp,7,10,1191,7753106,1669809785,1082.3,
ca-CondMat,3,10,618,8201,18664,0.3,
ca-CondMat,4,10,571,17227,54202,0.6,
ca-CondMat,5,10,491,27394,136234,1.6,
ca-CondMat,6,10,394,34968,337225,2.5,
ca-CondMat,7,10,350,38874,797886,2.2,
ca-CondMat,8,10,286,37483,1731705,2.1,
ca-CondMat,9,10,246,28385,3315815,2.2,
