graph,r,s,method,wall_s,rss_mb,status
ca-GrQc,4,5,OURS,0.18,20.2,OK
ca-GrQc,4,5,CND,0.85,319.8,OK
ca-GrQc,5,6,OURS,0.34,36.3,OK
ca-GrQc,5,6,CND,5.75,2058.3,OK
ca-GrQc,6,7,OURS,0.21,25.7,OK
ca-GrQc,6,7,CND,33.16,12213.0,OK
ca-GrQc,7,8,OURS,0.14,20.0,OK
ca-GrQc,7,8,CND,331.97,62375.6,OK
com-dblp,3,4,OURS,4.51,533.1,OK
com-dblp,3,4,CND,5.35,2457.0,OK
com-dblp,4,5,OURS,9.99,903.4,OK
com-dblp,4,5,CND,44.22,15733.8,OK
com-dblp,5,6,OURS,24.43,2216.2,OK
com-dblp,5,6,CND,1112.40,251270.0,OK
com-dblp,6,7,OURS,72.68,5791.3,OK
com-dblp,6,7,CND,2088.36,510517.3,ERR_rc137
ca-CondMat,4,5,OURS,0.60,74.8,OK
ca-CondMat,4,5,CND,0.95,325.9,OK
ca-CondMat,5,6,OURS,0.70,85.6,OK
ca-CondMat,5,6,CND,1.07,533.0,OK
ca-CondMat,6,7,OURS,0.77,92.0,OK
ca-CondMat,6,7,CND,1.53,926.6,OK
ca-HepPh,2,3,OURS,8.44,453.1,OK
ca-HepPh,2,3,CND,1.36,60.3,OK
ca-HepPh,3,4,OURS,162.76,12936.2,OK
ca-HepPh,3,4,CND,15.22,3076.0,OK
ca-HepPh,4,5,OURS,3611.00,394788.2,TIMEOUT
ca-HepPh,4,5,CND,649.95,137132.1,OK
ca-HepPh,5,6,OURS,1841.82,510679.0,ERR_rc137
ca-HepPh,5,6,CND,2031.99,510886.4,ERR_rc137
ca-AstroPh,3,4,OURS,11.83,1249.8,OK
ca-AstroPh,3,4,CND,3.85,1326.6,OK
ca-AstroPh,4,5,OURS,64.49,5972.2,OK
ca-AstroPh,4,5,CND,23.48,8990.3,OK
ca-AstroPh,4,6,OURS,209.24,9420.4,OK
ca-AstroPh,4,6,CND,22.58,8990.8,OK
ca-AstroPh,5,6,OURS,336.96,26816.0,OK
ca-AstroPh,5,6,CND,205.10,61316.1,OK
com-amazon.ungraph,4,5,OURS,1.13,114.6,OK
com-amazon.ungraph,4,5,CND,1.63,539.2,OK
com-amazon.ungraph,5,6,OURS,0.70,36.1,OK
com-amazon.ungraph,5,6,CND,1.21,281.2,OK
com-youtube,3,4,OURS,48.60,4193.1,OK
com-youtube,3,4,CND,14.12,3792.6,OK
com-youtube,4,5,OURS,67.01,5624.2,OK
com-youtube,4,5,CND,19.25,5549.2,OK
web-Stanford,2,3,OURS,46.03,3464.2,OK
web-Stanford,2,3,CND,11.05,702.4,OK
web-Stanford,3,4,OURS,992.53,14286.9,OK
web-Stanford,3,4,CND,37.25,11050.7,OK
web-Stanford,4,5,OURS,2334.63,88579.5,OK
web-Stanford,4,5,CND,255.77,72367.4,OK
web-Google,3,4,OURS,47.85,5750.5,OK
web-Google,3,4,CND,24.33,13999.8,OK
web-Google,4,5,OURS,74.50,9614.4,OK
web-Google,4,5,CND,55.20,38756.5,OK
web-Google,5,6,OURS,127.36,15695.4,OK
web-Google,5,6,CND,178.52,99912.3,OK
soc-pokec-relationships,3,4,OURS,359.49,33737.9,OK
soc-pokec-relationships,3,4,CND,131.52,37654.0,OK
soc-pokec-relationships,4,5,OURS,528.86,38051.7,OK
soc-pokec-relationships,4,5,CND,131.49,47947.7,OK
web-it-2004,2,3,OURS,8.60,495.1,OK
web-it-2004,2,3,CND,142.48,3866.9,OK
web-it-2004,3,4,OURS,8.48,453.8,OK
web-it-2004,3,4,CND,3408.77,302728.5,OK
web-it-2004,4,5,OURS,10.07,688.1,OK
web-it-2004,4,5,CND,1221.98,508886.1,ERR_rc137
web-it-2004,5,6,OURS,11.98,1039.0,OK
web-it-2004,5,6,CND,3600.00,33089.1,TIMEOUT
web-it-2004,6,7,OURS,17.88,1532.3,OK
web-it-2004,6,7,CND,3600.00,33068.0,TIMEOUT
ALL_DONE
