r	status	wall_s	rss_mb	regions	merged_rc	patterns	total_rc	maxcore	mce	enum	build	peel
1	OK	2.26	514	257551	0	256983	317080	113	0.26	0.05	0.45	0.38
2	OK	2.23	413	184409	204559	582485	772165	112	0.25	0.09	0.42	0.49
3	OK	2.31	415	96786	455850	643485	1680912	111	0.25	0.10	0.37	0.81
4	OK	4.56	874	43751	1693191	1060440	14966966	110	0.25	0.17	0.64	2.42
5	OK	11.18	2359	20034	14212399	2659318	248427523	109	0.24	0.49	2.30	7.35
6	OK	30.33	6587	9918	106057429	7667411	4115734681	108	0.24	1.52	9.46	18.27
7	RSSKILL	20.37	12009	5433	735631240	17364711	60178083088					
8	RSSKILL	6.75	12464	3206	4822729313	0	0					
113	OK	1.07	2	1	114	0	0	1				
112	OK	1.06	2	1	6441	0	0	2				
111	OK	1.05	2	1	240464	0	0	3				
110	OK	1.15	2	1	6672876	0	0	4				
109	OK	1.16	2	1	146803272	0	0	5				
108	OK	1.09	2	1	2666926108	0	0	6				
107	OK	1.06	2	1	41146859952	0	0	7				
106	OK	1.16	2	1	550339251858	0	0	8				
105	OK	1.11	2	1	6481773410772	0	0	9				
104	OK	1.13	2	1	68058620813106	0	0	10				
103	OK	1.12	2	1	643463324051184	0	0	11				
102	OK	1.14	2	1	5523060198105996	0	0	12				
101	OK	1.16	2	2	43334780015908678	0	0	13				
100	OK	1.13	2	2	312629484400488479	0	0	14				
99	OK	1.15	2	2	2084196562670060212	0	0	15				
98	OK	1.16	2	2	0	0	0	16				
97	OK	1.15	2	2	0	0	0	17				
96	OK	1.15	2	2	0	0	0	18				
95	OK	1.15	2	2	0	0	0	19				
94	OK	1.16	2	2	0	0	0	20				
93	OK	1.06	2	2	0	0	0	21				
92	OK	1.15	2	2	0	0	0	22				
91	OK	1.12	2	2	0	0	0	23				
90	OK	1.01	2	2	0	0	0	24				
89	OK	1.16	2	2	0	0	0	25				
88	OK	1.14	2	2	0	0	0	26				
87	OK	1.08	2	2	0	0	0	27				
86	OK	1.15	2	2	0	0	0	28				
85	OK	1.14	2	2	0	0	0	29				
84	OK	1.14	2	2	0	0	0	30				
83	OK	1.08	2	2	0	0	0	31				
82	OK	1.16	2	2	0	0	0	32				
81	OK	1.11	2	2	0	0	0	33				
80	OK	1.15	2	2	0	0	0	34				
79	OK	1.16	2	2	0	0	0	35				
78	OK	1.16	2	2	0	0	0	36				
77	OK	1.08	2	2	0	0	0	37				
76	OK	1.15	2	2	0	0	0	38				
75	OK	1.13	2	2	0	0	0	39				
