graph,s,algo,status,wall_sec,build_ms,peel_ms,sigma,mem_kB,time_max_rss_kB,time_user_sec,time_sys_sec,time_elapsed,time_pagefaults_major,time_pagefaults_minor
com-friendster,2,V3,OK,7646,5011835,344217,3475202307,Memory,160530984,7476.59,168.32,2:07:25,0,77223528
com-friendster,3,V3,OK,8590,5578606,561833,8940830177,Memory,339664468,8215.57,373.83,2:23:10,0,213320719
com-friendster,4,V3,OK,9183,5840867,676487,13765649931,Memory,472451604,8593.29,588.93,2:33:03,0,381465411
com-friendster,5,V3,OK,9632,6219530,623808,18959900454,Memory,467483604,9091.83,538.44,2:40:31,0,378883885
com-friendster,6,V3,OK,10966,6855322,651030,22642553199,Memory,450647952,10174.18,791.45,3:02:45,4,491471347
com-friendster,11,V3,OK,9479,6469902,166671,16806047013,Memory,311864872,8913.79,564.86,2:37:58,57,337653136
com-friendster,7,V3,ERR_137,7681,,,,,323586692,7313.26,340.86,2:08:00,120633,177147303
com-friendster,8,V3,ERR_137,7823,,,,,313772236,7478.99,339.81,2:10:22,769,179769538
com-friendster,9,V3,ERR_137,8080,,,,,360014400,7707.58,363.25,2:14:40,37368,192226456
com-friendster,10,V3,ERR_137,8175,,,,,348398176,7847.11,327.21,2:16:15,513,164903621
