graph,r,s,algo,status,wall_ms,total_ms,peel_ms,hier_ms,mem_kB
ca-CondMat,3,5,V3LM,OK,640.2,314.0,221.0,,28488
com-dblp,3,5,V3LM,OK,5147.5,2476.0,1804.0,,141628
com-dblp,3,8,V3LM,OK,4937.5,719.0,570.0,,71780
com-dblp,3,8,V3LM_HIER,OK,4832.6,1433.0,1241.0,14.0,75008
ca-CondMat,3,5,V3LM_HIER,OK,3553.0,482.0,352.0,9.0,30592
ca-CondMat,4,5,V3LM,OK,3445.8,629.0,423.0,,32912
ca-CondMat,4,5,V3LM_HIER,OK,3338.4,892.0,616.0,13.0,36304
ca-CondMat,5,6,V3LM,OK,3230.9,1073.0,730.0,,33708
ca-CondMat,5,6,V3LM_HIER,OK,3123.3,1661.0,1211.0,11.0,37040
com-dblp,3,5,V3LM_HIER,OK,8061.9,3917.0,3026.0,89.0,159252
com-dblp,4,8,V3LM,OK,16577.7,11673.0,10891.0,,117004
com-dblp,4,8,V3LM_HIER,OK,25520.6,22675.0,21777.0,29.0,127024
com-dblp,4,5,V3LM,OK,28848.9,24702.0,22482.0,,257288
com-dblp,4,5,V3LM_HIER,OK,43814.1,39934.0,36817.0,142.0,289336
com-youtube,3,5,V3LM,OK,121911.4,94647.0,78098.0,,1739328
com-youtube,4,8,V3LM,OK,202900.1,175800.0,147646.0,,1261704
com-youtube,3,5,V3LM_HIER,OK,257490.6,228397.0,191101.0,396.0,2090656
com-youtube,4,5,V3LM,OK,356885.4,328820.0,286078.0,,2311640
com-youtube,4,8,V3LM_HIER,OK,480187.2,453921.0,409255.0,287.0,2427008
com-youtube,4,5,V3LM_HIER,OK,519599.9,490644.0,382268.0,864.0,2636816
dblp-core30,3,5,V3LM,OK,311.9,10.0,6.0,,9820
dblp-core30,3,5,V3LM_HIER,OK,312.7,16.0,10.0,0.0,10088
dblp-core30,4,5,V3LM,OK,313.4,28.0,17.0,,10472
dblp-core30,4,5,V3LM_HIER,OK,313.3,33.0,21.0,0.0,10388
dblp-core30,5,6,V3LM,OK,313.6,39.0,22.0,,10640
dblp-core30,5,6,V3LM_HIER,OK,312.9,57.0,32.0,0.0,10952
web-it-2004,3,8,V3LM_HIER,OK,175045.2,3333.0,2295.0,233.0,376084
web-it-2004,3,5,V3LM,OK,178378.9,3146.0,1976.0,,396824
web-it-2004,3,8,V3LM,OK,178169.5,2980.0,1902.0,,381744
web-it-2004,3,5,V3LM_HIER,OK,181290.8,3295.0,2225.0,229.0,376580
web-Stanford,3,5,V3LM,OK,1081357.1,1058358.0,980568.0,,4029904
web-Stanford,3,8,V3LM,OK,1126370.0,1104111.0,1031485.0,,12952236
web-Stanford,4,5,V3LM_HIER,TIMEOUT,1802277.8,,,,
web-Stanford,4,5,V3LM,TIMEOUT,1803151.5,,,,
web-Stanford,3,8,V3LM_HIER,TIMEOUT,1803873.8,,,,
web-Stanford,3,5,V3LM_HIER,TIMEOUT,1804399.5,,,,
