graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
dblp-core30,3,4,V3LM_NOCPI,OK,1218.2,969.0,960.0,7.0,-1,10224
dblp-core30,3,5,V3LM_NOCPI,OK,11024.6,10795.0,10786.0,7.0,-1,10364
dblp-core30,3,6,V3LM_NOCPI,OK,128336.5,128090.0,128081.0,8.0,-1,15024
dblp-core30,3,7,V3LM_NOCPI,OK,1490674.3,1490425.0,1490411.0,13.0,-1,33308
dblp-core30,3,8,V3LM_NOCPI,TIMEOUT,1800000,,,,,
dblp-core30,3,10,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,3,12,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,3,15,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,3,20,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,3,25,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,3,30,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,4,5,V3LM_NOCPI,OK,10207.8,9960.0,9938.0,19.0,-1,10772
dblp-core30,4,6,V3LM_NOCPI,OK,119752.2,119507.0,119492.0,13.0,-1,10572
ca-GrQc,3,4,V3LM_NOCPI,OK,263.9,150.0,108.0,36.0,-1,11132
ca-GrQc,3,5,V3LM_NOCPI,OK,1155.5,1062.0,1035.0,23.0,-1,10660
ca-GrQc,3,6,V3LM_NOCPI,OK,7072.1,6981.0,6965.0,13.0,-1,10176
ca-GrQc,3,7,V3LM_NOCPI,OK,52930.3,52818.0,52806.0,10.0,-1,12316
ca-GrQc,3,8,V3LM_NOCPI,OK,334459.7,334345.0,334332.0,12.0,-1,27308
ca-GrQc,4,5,V3LM_NOCPI,OK,1517.1,1402.0,870.0,516.0,-1,14132
ca-GrQc,4,6,V3LM_NOCPI,OK,7418.0,7304.0,7141.0,153.0,-1,12152
ca-GrQc,4,7,V3LM_NOCPI,OK,60226.4,60111.0,60048.0,57.0,-1,11032
ca-GrQc,4,8,V3LM_NOCPI,OK,473313.1,473237.0,473215.0,19.0,-1,12448
ca-GrQc,5,6,V3LM_NOCPI,OK,7473.0,7359.0,4988.0,2325.0,-1,18796
ca-GrQc,5,7,V3LM_NOCPI,OK,45483.2,45368.0,45161.0,192.0,-1,12100
ca-GrQc,5,8,V3LM_NOCPI,OK,433855.6,433742.0,433677.0,57.0,-1,10924
ca-CondMat,3,4,V3LM_NOCPI,OK,639.7,393.0,69.0,264.0,-1,35172
ca-CondMat,3,5,V3LM_NOCPI,OK,738.9,522.0,163.0,310.0,-1,30424
ca-CondMat,3,6,V3LM_NOCPI,OK,989.0,780.0,450.0,295.0,-1,24780
ca-CondMat,3,7,V3LM_NOCPI,OK,1665.4,1501.0,1186.0,292.0,-1,21988
ca-CondMat,3,8,V3LM_NOCPI,OK,4183.5,4023.0,3752.0,255.0,-1,19236
ca-CondMat,4,5,V3LM_NOCPI,OK,827.2,649.0,104.0,461.0,-1,35772
ca-CondMat,4,6,V3LM_NOCPI,OK,1117.2,944.0,343.0,535.0,-1,32196
ca-CondMat,4,7,V3LM_NOCPI,OK,2862.4,2638.0,1633.0,939.0,-1,29024
ca-CondMat,4,8,V3LM_NOCPI,OK,6160.8,5976.0,5003.0,933.0,-1,23580
ca-CondMat,5,6,V3LM_NOCPI,OK,1852.8,1622.0,264.0,1177.0,-1,37164
ca-CondMat,5,7,V3LM_NOCPI,OK,2421.7,2251.0,985.0,1142.0,-1,34032
ca-CondMat,5,8,V3LM_NOCPI,OK,5968.8,5806.0,4253.0,1458.0,-1,29464
dblp-core30,3,8,V3LM_NOCPI,TIMEOUT,1200000,,,,,
dblp-core30,4,7,V3LM_NOCPI,OOM,1179208.2,,,,,-1
dblp-core30,4,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
dblp-core30,5,6,V3LM_NOCPI,OK,97559.4,97314.0,97284.0,25.0,-1,10940
dblp-core30,5,7,V3LM_NOCPI,TIMEOUT,1200000,,,,,
dblp-core30,5,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,3,4,V3LM_NOCPI,OK,644350.3,642731.0,180879.0,460656.0,-1,1076396
ca-HepPh,3,5,V3LM_NOCPI,TIMEOUT,1200000,,,,,
ca-HepPh,3,6,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,3,7,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,3,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,4,5,V3LM_NOCPI,TIMEOUT,1200000,,,,,
ca-HepPh,4,6,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,4,7,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,4,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,5,6,V3LM_NOCPI,TIMEOUT,1200000,,,,,
ca-HepPh,5,7,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
ca-HepPh,5,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
com-dblp,3,4,V3LM_NOCPI,OK,8970.4,6953.0,2026.0,4349.0,-1,227556
com-dblp,3,5,V3LM_NOCPI,OK,28498.5,26701.0,23728.0,2721.0,-1,154156
com-dblp,3,6,V3LM_NOCPI,OK,326417.6,324668.0,322137.0,2387.0,-1,109360
com-dblp,3,7,V3LM_NOCPI,TIMEOUT,1200000,,,,,
com-dblp,3,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
com-dblp,4,5,V3LM_NOCPI,OK,57600.9,55809.0,20261.0,34895.0,-1,287256
com-dblp,4,6,V3LM_NOCPI,OK,325965.7,324254.0,294229.0,29576.0,-1,215520
com-dblp,4,7,V3LM_NOCPI,TIMEOUT,1200000,,,,,
com-dblp,4,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
com-dblp,5,6,V3LM_NOCPI,OK,549382.5,547527.0,205143.0,340071.0,-1,670060
com-dblp,5,7,V3LM_NOCPI,TIMEOUT,1200000,,,,,
com-dblp,5,8,V3LM_NOCPI,SKIP_AFTER_FAIL,,,,,,
