graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
ca-GrQc,7,8,REF,OK,268774.9,268774.9,-1,-1,-1,11348932
ca-GrQc,7,10,REF,OK,233675.3,233675.3,-1,-1,-1,11348224
ca-GrQc,7,12,REF,OK,217171.5,217171.5,-1,-1,-1,11348072
ca-GrQc,7,14,REF,OK,179338.3,179338.3,-1,-1,-1,11347144
ca-GrQc,7,16,REF,OK,169542.9,169542.9,-1,-1,-1,11344760
ca-GrQc,7,18,REF,OK,152519.0,152519.0,-1,-1,-1,11342604
ca-GrQc,7,20,REF,OK,136765.5,136765.5,-1,-1,-1,11329916
ca-GrQc,7,22,REF,OK,128594.3,128594.3,-1,-1,-1,11302040
ca-GrQc,7,25,REF,OK,123193.5,123193.5,-1,-1,-1,11206148
ca-GrQc,7,30,REF,OK,124673.3,124673.3,-1,-1,-1,11177248
ca-GrQc,10,12,REF,TIMEOUT,1200000,,,,,
ca-GrQc,10,14,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,10,16,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,10,18,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,10,20,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,10,22,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,10,25,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,10,30,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,12,14,REF,TIMEOUT,1200000,,,,,
ca-GrQc,12,16,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,12,18,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,12,20,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,12,22,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,12,25,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,12,30,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,15,16,REF,TIMEOUT,1200000,,,,,
ca-GrQc,15,18,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,15,20,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,15,22,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,15,25,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,15,30,REF,SKIP_AFTER_FAIL,,,,,,
ca-CondMat,7,8,REF,OK,2193.7,2193.7,-1,-1,-1,329308
ca-CondMat,7,10,REF,OK,2105.1,2105.1,-1,-1,-1,326112
ca-CondMat,7,12,REF,OK,2030.7,2030.7,-1,-1,-1,316848
ca-CondMat,7,14,REF,OK,1599.2,1599.2,-1,-1,-1,298244
ca-CondMat,7,16,REF,OK,1405.0,1405.0,-1,-1,-1,270740
ca-CondMat,7,18,REF,OK,1502.5,1502.5,-1,-1,-1,241888
ca-CondMat,7,20,REF,OK,1024.6,1024.6,-1,-1,-1,204692
ca-CondMat,7,22,REF,OK,1073.0,1073.0,-1,-1,-1,204552
ca-CondMat,7,25,REF,OK,459.2,459.2,-1,-1,-1,133188
ca-CondMat,7,30,REF,OK,142.5,142.5,-1,-1,-1,23028
ca-CondMat,10,12,REF,OK,11213.1,11213.1,-1,-1,-1,1487840
ca-CondMat,10,14,REF,OK,11604.4,11604.4,-1,-1,-1,1484784
ca-CondMat,10,16,REF,OK,10980.4,10980.4,-1,-1,-1,1475772
ca-CondMat,10,18,REF,OK,11000.6,11000.6,-1,-1,-1,1447600
ca-CondMat,10,20,REF,OK,10545.3,10545.3,-1,-1,-1,1369260
ca-CondMat,10,22,REF,OK,9606.2,9606.2,-1,-1,-1,1369336
ca-CondMat,10,25,REF,OK,5269.3,5269.3,-1,-1,-1,992296
ca-CondMat,10,30,REF,OK,143.0,143.0,-1,-1,-1,23120
ca-CondMat,12,14,REF,OK,21566.4,21566.4,-1,-1,-1,2533256
ca-CondMat,12,16,REF,OK,21572.7,21572.7,-1,-1,-1,2531192
ca-CondMat,12,18,REF,OK,21954.0,21954.0,-1,-1,-1,2523104
ca-CondMat,12,20,REF,OK,21227.1,21227.1,-1,-1,-1,2477760
ca-CondMat,12,22,REF,OK,19774.7,19774.7,-1,-1,-1,2477836
ca-CondMat,12,25,REF,OK,12420.5,12420.5,-1,-1,-1,2006316
ca-CondMat,12,30,REF,OK,117.0,117.0,-1,-1,-1,23180
ca-CondMat,15,16,REF,OK,19912.7,19912.7,-1,-1,-1,2054744
ca-CondMat,15,18,REF,OK,19985.3,19985.3,-1,-1,-1,2054740
ca-CondMat,15,20,REF,OK,19534.8,19534.8,-1,-1,-1,2050648
ca-CondMat,15,22,REF,OK,19185.7,19185.7,-1,-1,-1,2050528
ca-CondMat,15,25,REF,OK,15989.5,15989.5,-1,-1,-1,1838868
ca-CondMat,15,30,REF,OK,168.1,168.1,-1,-1,-1,23120
dblp-core30,7,8,REF,TIMEOUT,1200000,,,,,
dblp-core30,7,10,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,12,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,14,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,16,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,18,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,20,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,22,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,25,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,7,30,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,12,REF,TIMEOUT,1200000,,,,,
dblp-core30,10,14,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,16,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,18,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,20,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,22,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,25,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,10,30,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,12,14,REF,TIMEOUT,1200000,,,,,
dblp-core30,12,16,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,12,18,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,12,20,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,12,22,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,12,25,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,12,30,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,15,16,REF,TIMEOUT,1200000,,,,,
dblp-core30,15,18,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,15,20,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,15,22,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,15,25,REF,SKIP_AFTER_FAIL,,,,,,
dblp-core30,15,30,REF,SKIP_AFTER_FAIL,,,,,,
ca-GrQc,7,8,V3LM,OK,851.8,739.0,68.0,602.0,-1,13880
ca-GrQc,7,10,V3LM,OK,111.9,1.0,0.0,0.0,-1,9792
ca-GrQc,7,12,V3LM,OK,118.0,5.0,0.0,4.0,-1,19688
ca-GrQc,7,14,V3LM,OK,126.2,10.0,0.0,10.0,-1,32728
ca-GrQc,7,16,V3LM,OK,126.4,11.0,0.0,10.0,-1,33012
ca-GrQc,7,18,V3LM,OK,124.6,10.0,0.0,10.0,-1,32876
ca-GrQc,7,20,V3LM,OK,126.2,11.0,0.0,10.0,-1,33112
ca-GrQc,7,22,V3LM,OK,125.3,10.0,0.0,10.0,-1,32960
ca-GrQc,7,25,V3LM,OK,126.5,10.0,0.0,10.0,-1,32908
ca-GrQc,7,30,V3LM,OK,101.5,10.0,0.0,10.0,-1,33100
ca-GrQc,10,12,V3LM,OK,113.8,0.0,0.0,0.0,-1,9612
ca-GrQc,10,14,V3LM,OK,113.2,0.0,0.0,0.0,-1,10632
ca-GrQc,10,16,V3LM,OK,125.9,10.0,0.0,10.0,-1,33004
ca-GrQc,10,18,V3LM,OK,124.8,10.0,0.0,10.0,-1,32884
