graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
com-orkut,3,4,REF,TIMEOUT,1800000,,,,,
com-orkut,3,5,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,6,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,7,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,8,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,10,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,12,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,5,REF,TIMEOUT,1800000,,,,,
com-orkut,4,6,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,7,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,8,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,10,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,12,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,6,REF,TIMEOUT,1800000,,,,,
com-orkut,5,7,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,8,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,10,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,12,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,6,7,REF,TIMEOUT,1800000,,,,,
com-orkut,6,8,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,6,10,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,6,12,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,7,8,REF,TIMEOUT,1800000,,,,,
com-orkut,7,10,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,7,12,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,3,4,REF,TIMEOUT,1800000,,,,,
com-lj,3,5,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,3,6,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,3,7,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,3,8,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,3,10,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,3,12,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,4,5,REF,TIMEOUT,1800000,,,,,
com-lj,4,6,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,4,7,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,4,8,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,4,10,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,4,12,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,5,6,REF,TIMEOUT,1800000,,,,,
com-lj,5,7,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,5,8,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,5,10,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,5,12,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,6,7,REF,TIMEOUT,1800000,,,,,
com-lj,6,8,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,6,10,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,6,12,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,7,8,REF,TIMEOUT,1800000,,,,,
com-lj,7,10,REF,SKIP_AFTER_FAIL,,,,,,
com-lj,7,12,REF,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,4,V3LM,TIMEOUT,1800000,,,,,
com-orkut,3,5,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,6,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,7,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,3,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,5,V3LM,TIMEOUT,1800000,,,,,
com-orkut,4,6,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,7,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,4,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,6,V3LM,TIMEOUT,1800000,,,,,
com-orkut,5,7,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,5,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,6,7,V3LM,TIMEOUT,1800000,,,,,
com-orkut,6,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,6,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,6,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,7,8,V3LM,TIMEOUT,1800000,,,,,
com-orkut,7,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-orkut,7,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,3,4,V3LM,TIMEOUT,1800000,,,,,
com-lj,3,5,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,3,6,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,3,7,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,3,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,3,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,3,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,4,5,V3LM,TIMEOUT,1800000,,,,,
com-lj,4,6,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,4,7,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,4,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,4,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,4,12,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,5,6,V3LM,TIMEOUT,1800000,,,,,
com-lj,5,7,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,5,8,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,5,10,V3LM,SKIP_AFTER_FAIL,,,,,,
com-lj,5,12,V3LM,SKIP_AFTER_FAIL,,,,,,
