meta	phase	duration_ms	rss_kb	delta_rss_kb	component_bytes
ca-HepPh,3,4,V3LM,1	loadAndSort	148.226	10468	8296	0
ca-HepPh,3,4,V3LM,1	buildSDCT	1374.27	13932	3464	421896
ca-HepPh,3,4,V3LM,1	preMutation	135.116	14724	792	0
ca-HepPh,3,4,V3LM,1	prepareGraph	2.40565	15016	292	0
ca-HepPh,3,4,V3LM,1	MCEnum	1.61886	15016	0	0
ca-HepPh,3,4,V3LM,1	Index	1093.57	169044	154028	0
ca-HepPh,3,4,V3LM,1	Support	10734.1	178284	9240	0
ca-HepPh,3,4,V3LM,1	Peel	373251	652324	474040	0
ca-HepPh,3,4,V3LM,1	dispatch_total	14.1258	571456	-80868	0
ca-HepPh,3,6,V3LM,2	loadAndSort	148.982	10576	8440	0
ca-HepPh,3,6,V3LM,2	buildSDCT	1424.16	13776	3200	282984
ca-HepPh,3,6,V3LM,2	preMutation	132.719	14304	528	0
ca-HepPh,3,6,V3LM,2	prepareGraph	2.45249	14500	196	0
ca-HepPh,3,6,V3LM,2	MCEnum	1.09054	14500	0	0
ca-HepPh,3,6,V3LM,2	Index	1112.86	140616	126116	0
ca-HepPh,3,6,V3LM,2	Support	8096.09	148416	7800	0
ca-HepPh,3,6,V3LM,2	Peel	306217	682072	533656	0
ca-HepPh,3,6,V3LM,2	dispatch_total	14.2373	633024	-49048	0
ca-HepPh,3,8,V3LM,3	loadAndSort	146.438	10532	8380	0
ca-HepPh,3,8,V3LM,3	buildSDCT	1363.57	13408	2876	240696
ca-HepPh,3,8,V3LM,3	preMutation	129.205	13936	528	0
ca-HepPh,3,8,V3LM,3	prepareGraph	2.35731	14232	296	0
ca-HepPh,3,8,V3LM,3	MCEnum	0.797864	14232	0	0
ca-HepPh,3,8,V3LM,3	Index	820.923	98852	84620	0
ca-HepPh,3,8,V3LM,3	Support	7509.43	105188	6336	0
ca-HepPh,3,8,V3LM,3	Peel	172064	832472	727284	0
ca-HepPh,3,8,V3LM,3	dispatch_total	39.5558	683204	-149268	0
com-dblp,3,4,V3LM,1	loadAndSort	741.613	39148	36956	0
com-dblp,3,4,V3LM,1	buildSDCT	749.713	66564	27416	4006032
com-dblp,3,4,V3LM,1	preMutation	468.968	72960	6396	0
com-dblp,3,4,V3LM,1	prepareGraph	27.9003	73944	984	0
com-dblp,3,4,V3LM,1	MCEnum	28.5656	79548	5604	0
com-dblp,3,4,V3LM,1	Index	399.315	126284	46736	0
com-dblp,3,4,V3LM,1	Support	363.754	129452	3168	0
com-dblp,3,4,V3LM,1	Peel	3368.78	166676	37224	0
com-dblp,3,4,V3LM,1	dispatch_total	7.76374	166676	0	0
com-dblp,3,6,V3LM,2	loadAndSort	740.1	38920	36748	0
com-dblp,3,6,V3LM,2	buildSDCT	623.631	60420	21500	1016280
com-dblp,3,6,V3LM,2	preMutation	434.013	62652	2232	0
com-dblp,3,6,V3LM,2	prepareGraph	30.803	63636	984	0
com-dblp,3,6,V3LM,2	MCEnum	9.83803	66864	3228	0
com-dblp,3,6,V3LM,2	Index	126.144	85524	18660	0
com-dblp,3,6,V3LM,2	Support	145.616	85524	0	0
com-dblp,3,6,V3LM,2	Peel	1312.12	91368	5844	0
com-dblp,3,6,V3LM,2	dispatch_total	1.77224	91368	0	0
com-dblp,3,8,V3LM,3	loadAndSort	617.721	38848	36684	0
com-dblp,3,8,V3LM,3	buildSDCT	450.267	58764	19916	367368
com-dblp,3,8,V3LM,3	preMutation	339.841	60144	1380	0
com-dblp,3,8,V3LM,3	prepareGraph	25.5503	56876	-3268	0
com-dblp,3,8,V3LM,3	MCEnum	4.76988	60104	3228	0
com-dblp,3,8,V3LM,3	Index	47.6859	68732	8628	0
com-dblp,3,8,V3LM,3	Support	67.9086	68732	0	0
com-dblp,3,8,V3LM,3	Peel	583.443	92756	24024	0
com-dblp,3,8,V3LM,3	dispatch_total	3.45911	69504	-23252	0
com-dblp,3,10,V3LM,4	loadAndSort	610.325	38768	36604	0
com-dblp,3,10,V3LM,4	buildSDCT	364.263	57952	19184	181416
com-dblp,3,10,V3LM,4	preMutation	335.049	59068	1116	0
com-dblp,3,10,V3LM,4	prepareGraph	25.2318	55936	-3132	0
com-dblp,3,10,V3LM,4	MCEnum	3.03933	59164	3228	0
com-dblp,3,10,V3LM,4	Index	23.7289	63364	4200	0
com-dblp,3,10,V3LM,4	Support	36.9372	63364	0	0
com-dblp,3,10,V3LM,4	Peel	335.943	86596	23232	0
com-dblp,3,10,V3LM,4	dispatch_total	3.21807	63400	-23196	0
web-it-2004,3,4,V3LM,1	loadAndSort	3535.47	142124	139976	0
web-it-2004,3,4,V3LM,1	buildSDCT	185656	218144	76020	10173264
web-it-2004,3,4,V3LM,1	preMutation	6949.64	229444	11300	0
web-it-2004,3,4,V3LM,1	prepareGraph	100.253	221836	-7608	0
web-it-2004,3,4,V3LM,1	MCEnum	55.9571	231848	10012	0
web-it-2004,3,4,V3LM,1	Index	682.245	310064	78216	0
web-it-2004,3,4,V3LM,1	Support	489.634	315936	5872	0
web-it-2004,3,4,V3LM,1	Peel	1864.81	384492	68556	0
web-it-2004,3,4,V3LM,1	dispatch_total	8.38402	384492	0	0
web-it-2004,3,6,V3LM,2	loadAndSort	3396.07	142132	139996	0
web-it-2004,3,6,V3LM,2	buildSDCT	187600	214708	72576	8977608
web-it-2004,3,6,V3LM,2	preMutation	6921.72	226856	12148	0
web-it-2004,3,6,V3LM,2	prepareGraph	92.1051	217260	-9596	0
web-it-2004,3,6,V3LM,2	MCEnum	52.8448	229196	11936	0
web-it-2004,3,6,V3LM,2	Index	655.151	311544	82348	0
web-it-2004,3,6,V3LM,2	Support	440.108	311784	240	0
web-it-2004,3,6,V3LM,2	Peel	1991.94	393004	81220	0
web-it-2004,3,6,V3LM,2	dispatch_total	6.77474	393004	0	0
web-it-2004,3,8,V3LM,3	loadAndSort	3781.31	142056	139916	0
web-it-2004,3,8,V3LM,3	buildSDCT	184122	210348	68292	7809624
web-it-2004,3,8,V3LM,3	preMutation	6818.92	220404	10056	0
web-it-2004,3,8,V3LM,3	prepareGraph	95.8168	210992	-9412	0
web-it-2004,3,8,V3LM,3	MCEnum	47.4476	220816	9824	0
web-it-2004,3,8,V3LM,3	Index	609.514	295160	74344	0
web-it-2004,3,8,V3LM,3	Support	379.744	299912	4752	0
web-it-2004,3,8,V3LM,3	Peel	1872.25	381848	81936	0
web-it-2004,3,8,V3LM,3	dispatch_total	6.77061	381848	0	0
web-it-2004,3,10,V3LM,4	loadAndSort	3378.52	142276	140084	0
web-it-2004,3,10,V3LM,4	buildSDCT	183726	205344	63068	6600312
web-it-2004,3,10,V3LM,4	preMutation	6846.05	216960	11616	0
web-it-2004,3,10,V3LM,4	prepareGraph	97.578	209528	-7432	0
web-it-2004,3,10,V3LM,4	MCEnum	43.4851	215392	5864	0
web-it-2004,3,10,V3LM,4	Index	351.886	259600	44208	0
web-it-2004,3,10,V3LM,4	Support	187.405	259600	0	0
web-it-2004,3,10,V3LM,4	Peel	1117.79	331216	71616	0
web-it-2004,3,10,V3LM,4	dispatch_total	41.107	331216	0	0
ca-CondMat,3,4,V3LM,1	loadAndSort	120.508	10684	8492	0
ca-CondMat,3,4,V3LM,1	buildSDCT	45.1241	13236	2552	436008
ca-CondMat,3,4,V3LM,1	preMutation	29.3916	14088	852	0
ca-CondMat,3,4,V3LM,1	prepareGraph	2.11555	14404	316	0
ca-CondMat,3,4,V3LM,1	MCEnum	1.76081	14728	324	0
ca-CondMat,3,4,V3LM,1	Index	44.8143	23420	8692	0
ca-CondMat,3,4,V3LM,1	Support	33.4695	23944	524	0
ca-CondMat,3,4,V3LM,1	Peel	156.956	27440	3496	0
ca-CondMat,3,4,V3LM,1	dispatch_total	1.07206	27440	0	0
ca-CondMat,3,6,V3LM,2	loadAndSort	94.3614	10556	8388	0
ca-CondMat,3,6,V3LM,2	buildSDCT	38.159	12520	1964	158016
ca-CondMat,3,6,V3LM,2	preMutation	26.6645	12904	384	0
ca-CondMat,3,6,V3LM,2	prepareGraph	2.09806	13296	392	0
ca-CondMat,3,6,V3LM,2	MCEnum	0.854727	13620	324	0
ca-CondMat,3,6,V3LM,2	Index	25.0117	18380	4760	0
ca-CondMat,3,6,V3LM,2	Support	20.7389	18644	264	0
ca-CondMat,3,6,V3LM,2	Peel	176.536	20448	1804	0
ca-CondMat,3,6,V3LM,2	dispatch_total	0.359207	20448	0	0
ca-CondMat,3,8,V3LM,3	loadAndSort	135.365	10712	8572	0
ca-CondMat,3,8,V3LM,3	buildSDCT	37.522	12592	1880	61320
ca-CondMat,3,8,V3LM,3	preMutation	29.5734	12856	264	0
ca-CondMat,3,8,V3LM,3	prepareGraph	2.56769	13104	248	0
ca-CondMat,3,8,V3LM,3	MCEnum	0.595262	13428	324	0
ca-CondMat,3,8,V3LM,3	Index	16.5713	15660	2232	0
ca-CondMat,3,8,V3LM,3	Support	14.0908	15660	0	0
ca-CondMat,3,8,V3LM,3	Peel	176.148	17368	1708	0
ca-CondMat,3,8,V3LM,3	dispatch_total	0.353644	17368	0	0
ca-CondMat,3,10,V3LM,4	loadAndSort	119.349	10712	8572	0
ca-CondMat,3,10,V3LM,4	buildSDCT	22.791	12208	1496	22968
ca-CondMat,3,10,V3LM,4	preMutation	20.8919	12592	384	0
ca-CondMat,3,10,V3LM,4	prepareGraph	2.06176	12920	328	0
ca-CondMat,3,10,V3LM,4	MCEnum	0.299692	13244	324	0
ca-CondMat,3,10,V3LM,4	Index	5.20169	14156	912	0
ca-CondMat,3,10,V3LM,4	Support	4.10413	14156	0	0
ca-CondMat,3,10,V3LM,4	Peel	63.443	20228	6072	0
ca-CondMat,3,10,V3LM,4	dispatch_total	0.810738	14404	-5824	0
