graph,type,n,m,r,s,regions,nC,base_leaves,patterns,rcliques,maxSplit,MCE,enum,build,maps,peel,sct_total,sct_wall,sct_rss_mb,cnd_wall,cnd_rss_mb,sct_core,cnd_core,match
email-Eu-core,email,1005,16064,3,4,41690,,,,,,,,,0.00,,,>120,59,1.08,39,,18,-
email-Eu-core,email,1005,16064,4,5,40283,,,,,,,,,0.00,,,>120,141,5.16,93,,16,-
email-Eu-core,email,1005,16064,5,7,34649,,,,,,,,,0.00,,,>120,246,21.75,218,,89,-
email-Eu-core,email,1005,16064,6,8,30504,,,,,,,,,0.00,,,>120,389,49.69,462,,66,-
email-Eu-core,email,1005,16064,7,10,21864,,,,,,,,,0.00,,,>120,446,72.71,792,,165,-
email-Eu-core,email,1005,16064,8,12,12999,,,,,,,,,0.00,,,>120,569,102.61,1080,,210,-
han_ego_2hop,ego,,,3,4,,,,,,,,,,0.00,,,>120,75,13.93,448,,88,-
han_ego_2hop,ego,,,4,5,,,,,,,,,,0.00,,,>120,68,>120,2358,,,-
han_ego_2hop,ego,,,5,7,,,,,,,,,,0.00,,,>120,56,>120,14273,,,-
han_ego_2hop,ego,,,6,8,,,,,,,,,,0.00,,,>120,46,>120,33411,,,-
han_ego_2hop,ego,13354,270455,7,10,127185,,,,,,,,,0.00,,,>120,1527,>120,32785,,,-
han_ego_2hop,ego,13354,270455,8,12,27874,,,,,,,,,0.00,,,>120,11807,>120,16400,,,-
ca-GrQc,collab,5242,14484,3,4,905,648,749,7508,32241,1218,0.01,0.01,0.00,0.12,1.00,1.15,1.16,19,0.17,19,41,41,OK
ca-GrQc,collab,5242,14484,4,5,311,199,285,22542,251179,3498,0.01,0.03,0.00,0.34,2.42,2.80,2.82,48,0.44,63,40,40,OK
ca-GrQc,collab,5242,14484,5,7,77,63,111,16330,1798315,2212,0.01,0.01,0.00,0.10,2.34,2.46,2.47,26,3.15,369,741,741,OK
ca-GrQc,collab,5242,14484,6,8,49,46,87,18022,11030883,1038,0.01,0.02,0.00,0.09,1.12,1.23,1.24,25,33.00,2027,703,703,OK
ca-GrQc,collab,5242,14484,7,10,27,24,59,519,57609084,9,0.01,0.00,0.00,0.00,0.00,0.01,0.02,4,>120,4638,7770,,-
ca-GrQc,collab,5242,14484,8,12,22,22,51,407,260014057,5,0.03,0.00,0.00,0.00,0.03,0.07,0.12,4,>120,15004,58905,,-
ca-CondMat,collab,23133,93439,3,4,8824,7444,13354,91932,137258,230,0.29,0.45,0.23,1.65,2.64,5.31,5.76,118,2.61,55,23,23,OK
ca-CondMat,collab,23133,93439,4,5,4952,3992,6925,122331,234295,1136,0.31,0.54,0.13,2.43,7.19,10.66,11.44,146,2.44,75,22,22,OK
ca-CondMat,collab,23133,93439,5,7,1825,1626,2496,131701,399057,3121,0.31,0.66,0.06,4.20,5.00,10.26,10.52,158,0.98,108,210,210,OK
ca-CondMat,collab,23133,93439,6,8,1144,978,1385,129695,743529,2336,0.39,0.71,0.05,1.01,9.68,11.85,12.12,146,4.38,178,190,190,OK
ca-CondMat,collab,23133,93439,7,10,414,350,457,67177,1193138,647,0.38,0.21,0.00,2.36,11.72,14.66,14.89,76,10.91,318,969,969,OK
ca-CondMat,collab,23133,93439,8,12,151,116,160,46637,2213549,490,0.31,0.27,0.00,1.40,3.96,5.94,6.09,52,22.19,560,3060,3060,OK
ca-HepPh,collab,12008,118489,3,4,8093,3852,14411,1251355,3322001,,,,3.86,-3.86,,,>120,484,19.78,509,,236,-
ca-HepPh,collab,12008,118489,4,5,5271,1992,11157,39998466,150019629,,,,2.50,-2.50,,,>120,10793,>120,9541,,,-
ca-HepPh,collab,12008,118489,5,7,3419,,,,,,,,,0.00,,,>120,3888,>120,25756,,,-
ca-HepPh,collab,12008,118489,6,8,3080,,,,,,,,,0.00,,,>120,5954,>120,32783,,,-
ca-HepPh,collab,12008,118489,7,10,2564,,,,,,,,,0.00,,,>120,11878,>120,32780,,,-
ca-HepPh,collab,12008,118489,8,12,2131,,,,,,,,,0.00,,,>120,12518,>120,16397,,,-
ca-AstroPh,collab,18772,198050,3,4,27997,9694,67192,848771,1306281,,,,0.67,-0.67,,,>120,240,6.48,274,,54,-
ca-AstroPh,collab,18772,198050,4,5,21665,7303,51646,4535489,9263075,,,,0.61,-0.61,,,>120,1399,28.74,1567,,53,-
ca-AstroPh,collab,18772,198050,5,7,13022,,,,,,,,,0.00,,,>120,3099,>120,8419,,,-
ca-AstroPh,collab,18772,198050,6,8,10407,,,,,,,,,0.00,,,>120,6435,>120,28213,,,-
