graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
com-dblp,1049866,0.2,41487,2,Ours_ST,0,11.3,23064,OK
com-dblp,1049866,0.2,41487,2,REF_R1,0,27.4,36276,OK
com-dblp,1049866,0.2,41487,3,Ours_ST,0,3.9,18308,OK
com-dblp,1049866,0.2,41487,3,REF_R1,0,18.0,30544,OK
com-dblp,1049866,0.2,41487,5,Ours_ST,0,0.8,16008,OK
com-dblp,1049866,0.2,41487,5,REF_R1,0,13.7,27904,OK
com-dblp,1049866,0.2,41487,7,Ours_ST,0,0.6,15768,OK
com-dblp,1049866,0.2,41487,7,REF_R1,0,14.1,28076,OK
com-dblp,1049866,0.2,41487,9,Ours_ST,0,0.6,15708,OK
com-dblp,1049866,0.2,41487,9,REF_R1,0,13.3,27872,OK
com-dblp,1049866,0.2,41487,11,Ours_ST,0,0.6,15728,OK
com-dblp,1049866,0.2,41487,11,REF_R1,0,13.2,27912,OK
com-dblp,1049866,0.2,41487,13,Ours_ST,0,0.5,15712,OK
com-dblp,1049866,0.2,41487,13,REF_R1,0,13.4,27772,OK
com-dblp,1049866,0.2,41487,15,Ours_ST,0,0.6,15728,OK
com-dblp,1049866,0.2,41487,15,REF_R1,0,13.4,27720,OK
com-dblp,1049866,0.4,166688,2,Ours_ST,0,40.5,46096,OK
com-dblp,1049866,0.4,166688,2,REF_R1,0,86.9,74924,OK
com-dblp,1049866,0.4,166688,3,Ours_ST,0,21.9,35348,OK
com-dblp,1049866,0.4,166688,3,REF_R1,0,61.5,60576,OK
com-dblp,1049866,0.4,166688,5,Ours_ST,0,4.0,26168,OK
com-dblp,1049866,0.4,166688,5,REF_R1,0,31.6,50148,OK
com-dblp,1049866,0.4,166688,7,Ours_ST,0,1.9,24996,OK
com-dblp,1049866,0.4,166688,7,REF_R1,0,29.4,48524,OK
com-dblp,1049866,0.4,166688,9,Ours_ST,0,1.4,24272,OK
com-dblp,1049866,0.4,166688,9,REF_R1,0,28.8,48060,OK
com-dblp,1049866,0.4,166688,11,Ours_ST,0,1.3,24188,OK
com-dblp,1049866,0.4,166688,11,REF_R1,0,26.5,48120,OK
com-dblp,1049866,0.4,166688,13,Ours_ST,0,1.3,24420,OK
com-dblp,1049866,0.4,166688,13,REF_R1,0,26.6,47952,OK
com-dblp,1049866,0.4,166688,15,Ours_ST,0,1.2,23788,OK
com-dblp,1049866,0.4,166688,15,REF_R1,0,26.3,48008,OK
com-dblp,1049866,0.6,378188,2,Ours_ST,0,92.0,76720,OK
com-dblp,1049866,0.6,378188,2,REF_R1,0,170.7,122496,OK
com-dblp,1049866,0.6,378188,3,Ours_ST,0,63.2,60212,OK
com-dblp,1049866,0.6,378188,3,REF_R1,0,139.2,99460,OK
com-dblp,1049866,0.6,378188,5,Ours_ST,0,14.2,40796,OK
com-dblp,1049866,0.6,378188,5,REF_R1,0,64.0,76652,OK
com-dblp,1049866,0.6,378188,7,Ours_ST,0,5.0,36160,OK
com-dblp,1049866,0.6,378188,7,REF_R1,0,49.5,71572,OK
com-dblp,1049866,0.6,378188,9,Ours_ST,0,3.2,34696,OK
com-dblp,1049866,0.6,378188,9,REF_R1,0,46.0,70140,OK
com-dblp,1049866,0.6,378188,11,Ours_ST,0,2.5,34436,OK
com-dblp,1049866,0.6,378188,11,REF_R1,0,45.2,69340,OK
com-dblp,1049866,0.6,378188,13,Ours_ST,0,2.2,33968,OK
com-dblp,1049866,0.6,378188,13,REF_R1,0,44.8,69272,OK
com-dblp,1049866,0.6,378188,15,Ours_ST,0,2.1,34160,OK
com-dblp,1049866,0.6,378188,15,REF_R1,0,44.3,69200,OK
com-dblp,1049866,0.8,671344,2,Ours_ST,0,167.8,112096,OK
com-dblp,1049866,0.8,671344,2,REF_R1,0,283.7,177396,OK
com-dblp,1049866,0.8,671344,3,Ours_ST,0,137.4,92272,OK
com-dblp,1049866,0.8,671344,3,REF_R1,0,248.1,148004,OK
com-dblp,1049866,0.8,671344,5,Ours_ST,0,36.2,60940,OK
com-dblp,1049866,0.8,671344,5,REF_R1,0,112.7,109428,OK
com-dblp,1049866,0.8,671344,7,Ours_ST,0,11.9,51056,OK
com-dblp,1049866,0.8,671344,7,REF_R1,0,75.8,98256,OK
com-dblp,1049866,0.8,671344,9,Ours_ST,0,6.2,48164,OK
com-dblp,1049866,0.8,671344,9,REF_R1,0,66.0,95004,OK
com-dblp,1049866,0.8,671344,11,Ours_ST,0,4.4,46892,OK
com-dblp,1049866,0.8,671344,11,REF_R1,0,62.3,93760,OK
com-dblp,1049866,0.8,671344,13,Ours_ST,0,3.6,46368,OK
com-dblp,1049866,0.8,671344,13,REF_R1,0,61.2,93172,OK
com-dblp,1049866,0.8,671344,15,Ours_ST,0,3.1,45888,OK
com-dblp,1049866,0.8,671344,15,REF_R1,0,60.7,93104,OK
com-dblp,1049866,1.0,1049866,2,Ours_ST,0,260.3,154860,OK
com-dblp,1049866,1.0,1049866,2,REF_R1,0,420.1,240100,OK
