graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
com-orkut,117185083,0.2,4628586,2,Ours_ST,0,954.6,699116,OK
com-orkut,117185083,0.2,4628586,2,REF_R1,0,1736.9,1055432,OK
com-orkut,117185083,0.2,4628586,3,Ours_ST,0,993.3,589988,OK
com-orkut,117185083,0.2,4628586,3,REF_R1,0,1788.8,833024,OK
com-orkut,117185083,0.2,4628586,5,Ours_ST,0,319.9,270516,OK
com-orkut,117185083,0.2,4628586,5,REF_R1,0,671.1,400304,OK
com-orkut,117185083,0.2,4628586,7,Ours_ST,0,81.2,182476,OK
com-orkut,117185083,0.2,4628586,7,REF_R1,0,265.8,285408,OK
com-orkut,117185083,0.2,4628586,9,Ours_ST,0,27.7,156376,OK
com-orkut,117185083,0.2,4628586,9,REF_R1,0,162.2,255344,OK
com-orkut,117185083,0.2,4628586,11,Ours_ST,0,12.3,147444,OK
com-orkut,117185083,0.2,4628586,11,REF_R1,0,128.0,247260,OK
com-orkut,117185083,0.2,4628586,13,Ours_ST,0,7.6,144116,OK
com-orkut,117185083,0.2,4628586,13,REF_R1,0,111.2,242840,OK
com-orkut,117185083,0.2,4628586,15,Ours_ST,0,5.5,142768,OK
com-orkut,117185083,0.2,4628586,15,REF_R1,0,105.8,240720,OK
com-orkut,117185083,0.4,18630230,2,Ours_ST,0,3924.2,2741488,OK
com-orkut,117185083,0.4,18630230,2,REF_R1,0,7291.5,3924148,OK
com-orkut,117185083,0.4,18630230,3,Ours_ST,0,6793.6,4024168,OK
com-orkut,117185083,0.4,18630230,3,REF_R1,0,12991.3,5195796,OK
com-orkut,117185083,0.4,18630230,5,Ours_ST,0,5452.0,4025576,OK
com-orkut,117185083,0.4,18630230,5,REF_R1,0,11039.5,4656920,OK
com-orkut,117185083,0.4,18630230,7,Ours_ST,0,3025.0,2584424,OK
com-orkut,117185083,0.4,18630230,7,REF_R1,0,6387.0,2935700,OK
com-orkut,117185083,0.4,18630230,9,Ours_ST,0,1523.8,1498864,OK
com-orkut,117185083,0.4,18630230,9,REF_R1,0,3271.0,1709320,OK
com-orkut,117185083,0.4,18630230,11,Ours_ST,0,762.3,945668,OK
com-orkut,117185083,0.4,18630230,11,REF_R1,0,1766.8,1108984,OK
com-orkut,117185083,0.4,18630230,13,Ours_ST,0,402.3,681276,OK
com-orkut,117185083,0.4,18630230,13,REF_R1,0,1074.0,864396,OK
com-orkut,117185083,0.4,18630230,15,Ours_ST,0,216.0,550484,OK
com-orkut,117185083,0.4,18630230,15,REF_R1,0,683.1,720172,OK
com-orkut,117185083,0.6,42046605,2,Ours_ST,0,9274.4,6295672,OK
com-orkut,117185083,0.6,42046605,2,REF_R1,0,17196.1,8847228,OK
com-orkut,117185083,0.6,42046605,3,Ours_ST,0,21132.9,13441908,OK
com-orkut,117185083,0.6,42046605,3,REF_R1,0,41846.0,17025524,OK
com-orkut,117185083,0.6,42046605,5,Ours_ST,0,30064.4,26305536,OK
com-orkut,117185083,0.6,42046605,5,REF_R1,0,73138.8,29771944,OK
com-orkut,117185083,0.6,42046605,7,Ours_ST,0,26021.2,25286952,OK
com-orkut,117185083,0.6,42046605,7,REF_R1,0,68338.2,28266572,OK
com-orkut,117185083,0.6,42046605,9,Ours_ST,0,18003.4,19518924,OK
com-orkut,117185083,0.6,42046605,9,REF_R1,0,48760.2,21352196,OK
com-orkut,117185083,0.6,42046605,11,Ours_ST,0,11554.8,13823128,OK
com-orkut,117185083,0.6,42046605,11,REF_R1,0,30965.6,14767808,OK
com-orkut,117185083,0.6,42046605,13,Ours_ST,0,7494.9,9935572,OK
com-orkut,117185083,0.6,42046605,13,REF_R1,0,20821.0,10581820,OK
com-orkut,117185083,0.6,42046605,15,Ours_ST,0,5387.2,7806464,OK
com-orkut,117185083,0.6,42046605,15,REF_R1,0,15791.0,8378484,OK
com-orkut,117185083,0.8,74947001,2,Ours_ST,0,17357.2,11344588,OK
com-orkut,117185083,0.8,74947001,2,REF_R1,0,31650.6,15720400,OK
com-orkut,117185083,0.8,74947001,3,Ours_ST,0,47782.5,32665044,OK
com-orkut,117185083,0.8,74947001,3,REF_R1,0,100478.0,41179236,OK
com-orkut,117185083,0.8,74947001,5,Ours_ST,0,114666.0,114306640,OK
com-orkut,117185083,0.8,74947001,5,REF_R1,0,344457.0,135612952,OK
com-orkut,117185083,0.8,74947001,7,Ours_ST,0,,,FAIL(-11)
com-orkut,117185083,0.8,74947001,7,REF_R1,0,551056.0,206353976,OK
com-orkut,117185083,0.8,74947001,9,Ours_ST,0,,,FAIL(-11)
com-orkut,117185083,0.8,74947001,9,REF_R1,0,,,TIMEOUT
com-orkut,117185083,0.8,74947001,11,Ours_ST,0,,,FAIL(-11)
com-orkut,117185083,0.8,74947001,11,REF_R1,0,487357.0,196886196,OK
com-orkut,117185083,0.8,74947001,13,Ours_ST,0,,,FAIL(-11)
com-orkut,117185083,0.8,74947001,13,REF_R1,0,370163.0,158729108,OK
com-orkut,117185083,0.8,74947001,15,Ours_ST,0,80540.3,102526552,OK
com-orkut,117185083,0.8,74947001,15,REF_R1,0,383043.0,130558488,OK
