graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
com-youtube,2987624,0.2,118437,2,Ours_ST,0,20.9,55852,OK
com-youtube,2987624,0.2,118437,2,REF_R1,0,73.9,106620,OK
com-youtube,2987624,0.2,118437,3,Ours_ST,0,4.6,38216,OK
com-youtube,2987624,0.2,118437,3,REF_R1,0,45.2,85484,OK
com-youtube,2987624,0.2,118437,5,Ours_ST,0,1.9,35312,OK
com-youtube,2987624,0.2,118437,5,REF_R1,0,39.5,81900,OK
com-youtube,2987624,0.2,118437,7,Ours_ST,0,1.8,34952,OK
com-youtube,2987624,0.2,118437,7,REF_R1,0,38.9,81664,OK
com-youtube,2987624,0.2,118437,9,Ours_ST,0,1.7,34928,OK
com-youtube,2987624,0.2,118437,9,REF_R1,0,39.0,81900,OK
com-youtube,2987624,0.2,118437,11,Ours_ST,0,1.7,35060,OK
com-youtube,2987624,0.2,118437,11,REF_R1,0,38.9,81748,OK
com-youtube,2987624,0.2,118437,13,Ours_ST,0,1.6,34928,OK
com-youtube,2987624,0.2,118437,13,REF_R1,0,39.2,81660,OK
com-youtube,2987624,0.2,118437,15,Ours_ST,0,2.6,34988,OK
com-youtube,2987624,0.2,118437,15,REF_R1,0,38.7,81608,OK
com-youtube,2987624,0.4,487347,2,Ours_ST,0,103.1,138948,OK
com-youtube,2987624,0.4,487347,2,REF_R1,0,231.4,246224,OK
com-youtube,2987624,0.4,487347,3,Ours_ST,0,25.6,84240,OK
com-youtube,2987624,0.4,487347,3,REF_R1,0,127.5,173320,OK
com-youtube,2987624,0.4,487347,5,Ours_ST,0,6.6,68616,OK
com-youtube,2987624,0.4,487347,5,REF_R1,0,86.7,153484,OK
com-youtube,2987624,0.4,487347,7,Ours_ST,0,3.4,64472,OK
com-youtube,2987624,0.4,487347,7,REF_R1,0,112.5,149324,OK
com-youtube,2987624,0.4,487347,9,Ours_ST,0,3.0,63816,OK
com-youtube,2987624,0.4,487347,9,REF_R1,0,109.2,148324,OK
com-youtube,2987624,0.4,487347,11,Ours_ST,0,2.9,63864,OK
com-youtube,2987624,0.4,487347,11,REF_R1,0,108.8,148288,OK
com-youtube,2987624,0.4,487347,13,Ours_ST,0,2.9,63888,OK
com-youtube,2987624,0.4,487347,13,REF_R1,0,77.4,148604,OK
com-youtube,2987624,0.4,487347,15,Ours_ST,0,2.9,63944,OK
com-youtube,2987624,0.4,487347,15,REF_R1,0,77.2,148248,OK
com-youtube,2987624,0.6,1101584,2,Ours_ST,0,257.1,263980,OK
com-youtube,2987624,0.6,1101584,2,REF_R1,0,477.1,442284,OK
com-youtube,2987624,0.6,1101584,3,Ours_ST,0,98.7,164060,OK
com-youtube,2987624,0.6,1101584,3,REF_R1,0,310.2,304676,OK
com-youtube,2987624,0.6,1101584,5,Ours_ST,0,36.1,126776,OK
com-youtube,2987624,0.6,1101584,5,REF_R1,0,189.1,257564,OK
com-youtube,2987624,0.6,1101584,7,Ours_ST,0,12.3,104188,OK
com-youtube,2987624,0.6,1101584,7,REF_R1,0,139.3,230708,OK
com-youtube,2987624,0.6,1101584,9,Ours_ST,0,5.9,96988,OK
com-youtube,2987624,0.6,1101584,9,REF_R1,0,122.0,222512,OK
com-youtube,2987624,0.6,1101584,11,Ours_ST,0,4.9,95700,OK
com-youtube,2987624,0.6,1101584,11,REF_R1,0,119.3,220636,OK
com-youtube,2987624,0.6,1101584,13,Ours_ST,0,4.5,95600,OK
com-youtube,2987624,0.6,1101584,13,REF_R1,0,118.7,220412,OK
com-youtube,2987624,0.6,1101584,15,Ours_ST,0,4.2,95556,OK
com-youtube,2987624,0.6,1101584,15,REF_R1,0,118.9,220264,OK
com-youtube,2987624,0.8,1926696,2,Ours_ST,0,450.2,412068,OK
com-youtube,2987624,0.8,1926696,2,REF_R1,0,794.9,682996,OK
com-youtube,2987624,0.8,1926696,3,Ours_ST,0,219.2,296992,OK
com-youtube,2987624,0.8,1926696,3,REF_R1,0,599.5,494404,OK
com-youtube,2987624,0.8,1926696,5,Ours_ST,0,120.5,225532,OK
com-youtube,2987624,0.8,1926696,5,REF_R1,0,400.5,408684,OK
com-youtube,2987624,0.8,1926696,7,Ours_ST,0,49.8,173824,OK
com-youtube,2987624,0.8,1926696,7,REF_R1,0,259.1,345936,OK
com-youtube,2987624,0.8,1926696,9,Ours_ST,0,17.6,146192,OK
com-youtube,2987624,0.8,1926696,9,REF_R1,0,188.6,313236,OK
com-youtube,2987624,0.8,1926696,11,Ours_ST,0,8.8,136188,OK
com-youtube,2987624,0.8,1926696,11,REF_R1,0,166.0,302328,OK
com-youtube,2987624,0.8,1926696,13,Ours_ST,0,6.6,134524,OK
com-youtube,2987624,0.8,1926696,13,REF_R1,0,160.9,299852,OK
com-youtube,2987624,0.8,1926696,15,Ours_ST,0,6.3,133820,OK
com-youtube,2987624,0.8,1926696,15,REF_R1,0,159.7,299448,OK
com-youtube,2987624,1.0,2987624,2,Ours_ST,0,693.7,606500,OK
com-youtube,2987624,1.0,2987624,2,REF_R1,0,1180.5,982520,OK
com-youtube,2987624,1.0,2987624,3,Ours_ST,0,408.6,437688,OK
com-youtube,2987624,1.0,2987624,3,REF_R1,0,1037.2,746772,OK
com-youtube,2987624,1.0,2987624,5,Ours_ST,0,267.3,384800,OK
com-youtube,2987624,1.0,2987624,5,REF_R1,0,781.7,657384,OK
com-youtube,2987624,1.0,2987624,7,Ours_ST,0,136.4,286304,OK
com-youtube,2987624,1.0,2987624,7,REF_R1,0,500.2,514612,OK
com-youtube,2987624,1.0,2987624,9,Ours_ST,0,51.5,222052,OK
com-youtube,2987624,1.0,2987624,9,REF_R1,0,307.7,438488,OK
com-youtube,2987624,1.0,2987624,11,Ours_ST,0,18.9,189800,OK
com-youtube,2987624,1.0,2987624,11,REF_R1,0,229.6,401568,OK
com-youtube,2987624,1.0,2987624,13,Ours_ST,0,10.2,180032,OK
com-youtube,2987624,1.0,2987624,13,REF_R1,0,208.7,391128,OK
com-youtube,2987624,1.0,2987624,15,Ours_ST,0,8.3,178720,OK
com-youtube,2987624,1.0,2987624,15,REF_R1,0,203.5,389180,OK
