graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
soc-pokec-relationships,22301964,0.2,893628,2,Ours_ST,0,281.3,170192,OK
soc-pokec-relationships,22301964,0.2,893628,2,REF_R1,0,366.4,278328,OK
soc-pokec-relationships,22301964,0.2,893628,3,Ours_ST,0,68.6,87024,OK
soc-pokec-relationships,22301964,0.2,893628,3,REF_R1,0,175.4,154208,OK
soc-pokec-relationships,22301964,0.2,893628,5,Ours_ST,0,6.0,56680,OK
soc-pokec-relationships,22301964,0.2,893628,5,REF_R1,0,90.3,116896,OK
soc-pokec-relationships,22301964,0.2,893628,7,Ours_ST,0,2.6,54728,OK
soc-pokec-relationships,22301964,0.2,893628,7,REF_R1,0,55.5,114236,OK
soc-pokec-relationships,22301964,0.2,893628,9,Ours_ST,0,2.4,54596,OK
soc-pokec-relationships,22301964,0.2,893628,9,REF_R1,0,55.6,114212,OK
soc-pokec-relationships,22301964,0.2,893628,11,Ours_ST,0,2.6,54412,OK
soc-pokec-relationships,22301964,0.2,893628,11,REF_R1,0,55.1,114044,OK
soc-pokec-relationships,22301964,0.2,893628,13,Ours_ST,0,3.1,54248,OK
soc-pokec-relationships,22301964,0.2,893628,13,REF_R1,0,56.3,113996,OK
soc-pokec-relationships,22301964,0.2,893628,15,Ours_ST,0,2.3,54424,OK
soc-pokec-relationships,22301964,0.2,893628,15,REF_R1,0,55.2,113992,OK
soc-pokec-relationships,22301964,0.4,3577377,2,Ours_ST,0,776.5,582624,OK
soc-pokec-relationships,22301964,0.4,3577377,2,REF_R1,0,1399.8,893688,OK
soc-pokec-relationships,22301964,0.4,3577377,3,Ours_ST,0,557.1,344252,OK
soc-pokec-relationships,22301964,0.4,3577377,3,REF_R1,0,1074.8,532720,OK
soc-pokec-relationships,22301964,0.4,3577377,5,Ours_ST,0,82.4,158644,OK
soc-pokec-relationships,22301964,0.4,3577377,5,REF_R1,0,270.7,277980,OK
soc-pokec-relationships,22301964,0.4,3577377,7,Ours_ST,0,12.5,128728,OK
