graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
web-Google,4322051,0.2,170210,2,Ours_ST,0,27.3,53368,OK
web-Google,4322051,0.2,170210,2,REF_R1,0,69.4,90628,OK
web-Google,4322051,0.2,170210,3,Ours_ST,0,12.8,40376,OK
web-Google,4322051,0.2,170210,3,REF_R1,0,48.9,74852,OK
web-Google,4322051,0.2,170210,5,Ours_ST,0,3.4,31964,OK
web-Google,4322051,0.2,170210,5,REF_R1,0,31.6,65316,OK
web-Google,4322051,0.2,170210,7,Ours_ST,0,1.4,29992,OK
web-Google,4322051,0.2,170210,7,REF_R1,0,29.2,63076,OK
web-Google,4322051,0.2,170210,9,Ours_ST,0,1.1,29784,OK
web-Google,4322051,0.2,170210,9,REF_R1,0,40.7,62804,OK
web-Google,4322051,0.2,170210,11,Ours_ST,0,1.1,29324,OK
web-Google,4322051,0.2,170210,11,REF_R1,0,40.8,62324,OK
web-Google,4322051,0.2,170210,13,Ours_ST,0,1.1,29328,OK
web-Google,4322051,0.2,170210,13,REF_R1,0,40.9,62576,OK
web-Google,4322051,0.2,170210,15,Ours_ST,0,1.1,29292,OK
web-Google,4322051,0.2,170210,15,REF_R1,0,40.9,62580,OK
web-Google,4322051,0.4,681718,2,Ours_ST,0,175.8,125992,OK
web-Google,4322051,0.4,681718,2,REF_R1,0,213.9,209584,OK
web-Google,4322051,0.4,681718,3,Ours_ST,0,121.1,99036,OK
web-Google,4322051,0.4,681718,3,REF_R1,0,175.5,170608,OK
web-Google,4322051,0.4,681718,5,Ours_ST,0,45.9,74000,OK
web-Google,4322051,0.4,681718,5,REF_R1,0,152.7,141808,OK
web-Google,4322051,0.4,681718,7,Ours_ST,0,17.9,61928,OK
web-Google,4322051,0.4,681718,7,REF_R1,0,110.6,128124,OK
web-Google,4322051,0.4,681718,9,Ours_ST,0,7.3,56416,OK
web-Google,4322051,0.4,681718,9,REF_R1,0,65.1,122180,OK
web-Google,4322051,0.4,681718,11,Ours_ST,0,4.3,54164,OK
web-Google,4322051,0.4,681718,11,REF_R1,0,61.2,119844,OK
web-Google,4322051,0.4,681718,13,Ours_ST,0,2.5,53920,OK
web-Google,4322051,0.4,681718,13,REF_R1,0,84.3,119076,OK
web-Google,4322051,0.4,681718,15,Ours_ST,0,2.1,53592,OK
web-Google,4322051,0.4,681718,15,REF_R1,0,84.3,118892,OK
web-Google,4322051,0.6,1552394,2,Ours_ST,0,276.8,236388,OK
web-Google,4322051,0.6,1552394,2,REF_R1,0,441.5,363812,OK
web-Google,4322051,0.6,1552394,3,Ours_ST,0,225.7,186676,OK
web-Google,4322051,0.6,1552394,3,REF_R1,0,420.7,304052,OK
web-Google,4322051,0.6,1552394,5,Ours_ST,0,107.3,141836,OK
web-Google,4322051,0.6,1552394,5,REF_R1,0,256.4,246180,OK
web-Google,4322051,0.6,1552394,7,Ours_ST,0,53.6,118816,OK
web-Google,4322051,0.6,1552394,7,REF_R1,0,174.8,220108,OK
web-Google,4322051,0.6,1552394,9,Ours_ST,0,25.2,102784,OK
web-Google,4322051,0.6,1552394,9,REF_R1,0,127.3,202264,OK
web-Google,4322051,0.6,1552394,11,Ours_ST,0,12.0,92824,OK
web-Google,4322051,0.6,1552394,11,REF_R1,0,135.0,191792,OK
web-Google,4322051,0.6,1552394,13,Ours_ST,0,6.3,88180,OK
web-Google,4322051,0.6,1552394,13,REF_R1,0,95.5,186168,OK
web-Google,4322051,0.6,1552394,15,Ours_ST,0,4.3,86384,OK
web-Google,4322051,0.6,1552394,15,REF_R1,0,92.0,184520,OK
web-Google,4322051,0.8,2748799,2,Ours_ST,0,485.7,369004,OK
web-Google,4322051,0.8,2748799,2,REF_R1,0,736.4,556368,OK
web-Google,4322051,0.8,2748799,3,Ours_ST,0,467.8,323736,OK
web-Google,4322051,0.8,2748799,3,REF_R1,0,782.1,479188,OK
web-Google,4322051,0.8,2748799,5,Ours_ST,0,254.0,239368,OK
web-Google,4322051,0.8,2748799,5,REF_R1,0,499.3,379892,OK
web-Google,4322051,0.8,2748799,7,Ours_ST,0,155.3,204592,OK
web-Google,4322051,0.8,2748799,7,REF_R1,0,355.6,339120,OK
web-Google,4322051,0.8,2748799,9,Ours_ST,0,88.0,175828,OK
web-Google,4322051,0.8,2748799,9,REF_R1,0,253.9,307180,OK
web-Google,4322051,0.8,2748799,11,Ours_ST,0,45.7,153596,OK
web-Google,4322051,0.8,2748799,11,REF_R1,0,188.5,283088,OK
web-Google,4322051,0.8,2748799,13,Ours_ST,0,23.6,139224,OK
web-Google,4322051,0.8,2748799,13,REF_R1,0,152.0,267160,OK
web-Google,4322051,0.8,2748799,15,Ours_ST,0,12.8,130412,OK
web-Google,4322051,0.8,2748799,15,REF_R1,0,135.0,258084,OK
web-Google,4322051,1.0,4322051,2,Ours_ST,0,726.0,526912,OK
web-Google,4322051,1.0,4322051,2,REF_R1,0,1110.7,777708,OK
web-Google,4322051,1.0,4322051,3,Ours_ST,0,806.1,505496,OK
web-Google,4322051,1.0,4322051,3,REF_R1,0,1301.8,718624,OK
web-Google,4322051,1.0,4322051,5,Ours_ST,0,495.2,372760,OK
web-Google,4322051,1.0,4322051,5,REF_R1,0,861.4,557544,OK
web-Google,4322051,1.0,4322051,7,Ours_ST,0,330.9,314804,OK
web-Google,4322051,1.0,4322051,7,REF_R1,0,641.7,481704,OK
web-Google,4322051,1.0,4322051,9,Ours_ST,0,217.0,269784,OK
web-Google,4322051,1.0,4322051,9,REF_R1,0,472.6,430780,OK
web-Google,4322051,1.0,4322051,11,Ours_ST,0,136.7,229604,OK
web-Google,4322051,1.0,4322051,11,REF_R1,0,348.8,386332,OK
web-Google,4322051,1.0,4322051,13,Ours_ST,0,74.5,198684,OK
web-Google,4322051,1.0,4322051,13,REF_R1,0,257.8,353076,OK
web-Google,4322051,1.0,4322051,15,Ours_ST,0,40.9,176652,OK
web-Google,4322051,1.0,4322051,15,REF_R1,0,208.7,329848,OK
