graph,base_edges,ratio,kept_edges,s,algorithm,run,time_ms,memory_kB,status
web-Stanford,1992636,0.2,74775,2,Ours_ST,0,12.8,24832,OK
web-Stanford,1992636,0.2,74775,2,REF_R1,0,28.1,36832,OK
web-Stanford,1992636,0.2,74775,3,Ours_ST,0,7.5,20044,OK
web-Stanford,1992636,0.2,74775,3,REF_R1,0,22.1,31468,OK
web-Stanford,1992636,0.2,74775,5,Ours_ST,0,1.9,16376,OK
web-Stanford,1992636,0.2,74775,5,REF_R1,0,13.3,27356,OK
web-Stanford,1992636,0.2,74775,7,Ours_ST,0,1.0,15532,OK
web-Stanford,1992636,0.2,74775,7,REF_R1,0,12.4,26436,OK
web-Stanford,1992636,0.2,74775,9,Ours_ST,0,0.7,15304,OK
web-Stanford,1992636,0.2,74775,9,REF_R1,0,11.4,25940,OK
web-Stanford,1992636,0.2,74775,11,Ours_ST,0,0.6,15304,OK
web-Stanford,1992636,0.2,74775,11,REF_R1,0,11.5,26000,OK
web-Stanford,1992636,0.2,74775,13,Ours_ST,0,0.6,15424,OK
web-Stanford,1992636,0.2,74775,13,REF_R1,0,11.1,25780,OK
web-Stanford,1992636,0.2,74775,15,Ours_ST,0,0.5,15412,OK
web-Stanford,1992636,0.2,74775,15,REF_R1,0,11.6,25880,OK
web-Stanford,1992636,0.4,303201,2,Ours_ST,0,48.5,54292,OK
web-Stanford,1992636,0.4,303201,2,REF_R1,0,98.4,83804,OK
web-Stanford,1992636,0.4,303201,3,Ours_ST,0,43.0,50984,OK
web-Stanford,1992636,0.4,303201,3,REF_R1,0,100.4,76896,OK
web-Stanford,1992636,0.4,303201,5,Ours_ST,0,16.1,34620,OK
web-Stanford,1992636,0.4,303201,5,REF_R1,0,51.9,56660,OK
web-Stanford,1992636,0.4,303201,7,Ours_ST,0,8.7,30128,OK
web-Stanford,1992636,0.4,303201,7,REF_R1,0,37.8,51180,OK
web-Stanford,1992636,0.4,303201,9,Ours_ST,0,4.7,27664,OK
web-Stanford,1992636,0.4,303201,9,REF_R1,0,31.1,48220,OK
web-Stanford,1992636,0.4,303201,11,Ours_ST,0,2.7,26372,OK
web-Stanford,1992636,0.4,303201,11,REF_R1,0,28.3,47272,OK
web-Stanford,1992636,0.4,303201,13,Ours_ST,0,2.1,26228,OK
web-Stanford,1992636,0.4,303201,13,REF_R1,0,27.1,46808,OK
web-Stanford,1992636,0.4,303201,15,Ours_ST,0,1.9,25692,OK
web-Stanford,1992636,0.4,303201,15,REF_R1,0,26.7,46412,OK
web-Stanford,1992636,0.6,706568,2,Ours_ST,0,113.5,100716,OK
web-Stanford,1992636,0.6,706568,2,REF_R1,0,140.0,151080,OK
web-Stanford,1992636,0.6,706568,3,Ours_ST,0,94.3,115592,OK
web-Stanford,1992636,0.6,706568,3,REF_R1,0,182.9,165960,OK
web-Stanford,1992636,0.6,706568,5,Ours_ST,0,58.0,93392,OK
web-Stanford,1992636,0.6,706568,5,REF_R1,0,137.7,138712,OK
web-Stanford,1992636,0.6,706568,7,Ours_ST,0,31.4,71752,OK
web-Stanford,1992636,0.6,706568,7,REF_R1,0,88.7,107732,OK
web-Stanford,1992636,0.6,706568,9,Ours_ST,0,17.7,57468,OK
web-Stanford,1992636,0.6,706568,9,REF_R1,0,58.9,89680,OK
web-Stanford,1992636,0.6,706568,11,Ours_ST,0,12.5,51956,OK
web-Stanford,1992636,0.6,706568,11,REF_R1,0,48.3,83708,OK
web-Stanford,1992636,0.6,706568,13,Ours_ST,0,7.7,46584,OK
web-Stanford,1992636,0.6,706568,13,REF_R1,0,38.2,77968,OK
web-Stanford,1992636,0.6,706568,15,Ours_ST,0,5.3,44084,OK
web-Stanford,1992636,0.6,706568,15,REF_R1,0,35.2,74828,OK
