dataset_name,s,r,total_sec,max_rss_mb,exit_status,source
com-dblp,4,2,52.25,218.30859375,0.0,ARC
com-dblp,5,2,1824.88,227.078125,0.0,ARC
com-dblp,4,3,27.72,305.3671875,0.0,ARC
com-dblp,5,3,2077.57,302.90625,0.0,ARC
com-dblp,5,4,1061.16,2368.53125,0.0,ARC
com-youtube,4,2,40.23,732.67578125,0.0,ARC
com-youtube,5,2,295.83,737.6171875,0.0,ARC
com-youtube,6,2,1343.37,740.75390625,0.0,ARC
com-youtube,7,2,2520.67,742.19140625,0.0,ARC
com-youtube,8,2,2470.34,743.41015625,0.0,ARC
com-youtube,9,2,1510.08,744.09375,0.0,ARC
com-youtube,10,2,684.51,743.38671875,0.0,ARC
com-youtube,11,2,253.93,743.31640625,0.0,ARC
com-youtube,12,2,70.86,743.64453125,0.0,ARC
com-youtube,4,3,35.37,501.7265625,0.0,ARC
com-youtube,5,3,112.3,564.3046875,0.0,ARC
com-youtube,6,3,595.14,580.50390625,0.0,ARC
com-youtube,7,3,1735.35,593.453125,0.0,ARC
com-youtube,8,3,2516.2,549.265625,0.0,ARC
com-youtube,9,3,2494.54,548.15234375,0.0,ARC
com-youtube,10,3,1926.28,550.765625,0.0,ARC
com-youtube,11,3,1042.12,552.515625,0.0,ARC
com-youtube,12,3,476.14,553.1953125,0.0,ARC
com-youtube,5,4,193.34,935.890625,0.0,ARC
com-youtube,6,4,594.0,983.14453125,0.0,ARC
com-youtube,7,4,1168.37,999.1328125,0.0,ARC
com-youtube,8,4,3341.76,1009.58203125,0.0,ARC
com-youtube,9,4,5655.0,1021.69140625,0.0,ARC
com-youtube,10,4,6225.0,1048.21875,0.0,ARC
com-youtube,11,4,5757.0,1067.98046875,0.0,ARC
com-youtube,12,4,4851.0,1081.43359375,0.0,ARC
soc-pokec-relationships,4,2,270.08,4107.90625,0.0,ARC
soc-pokec-relationships,5,2,1109.03,4181.45703125,0.0,ARC
soc-pokec-relationships,6,2,4333.0,4238.859375,0.0,ARC
soc-pokec-relationships,7,2,8988.0,3956.8125,0.0,ARC
soc-pokec-relationships,8,2,12555.0,3974.22265625,0.0,ARC
soc-pokec-relationships,9,2,16901.0,3984.62890625,0.0,ARC
soc-pokec-relationships,4,3,194.93,4552.84765625,0.0,ARC
soc-pokec-relationships,5,3,637.22,4722.4921875,0.0,ARC
soc-pokec-relationships,6,3,3272.23,5054.1171875,0.0,ARC
soc-pokec-relationships,7,3,13278.0,5192.2421875,0.0,ARC
soc-pokec-relationships,5,4,741.96,7241.92578125,0.0,ARC
soc-pokec-relationships,6,4,1482.64,8101.94140625,0.0,ARC
soc-pokec-relationships,7,4,8049.0,7834.86328125,0.0,ARC
web-Google,4,2,129.41,848.48046875,0.0,ARC
web-Google,5,2,680.06,843.8984375,0.0,ARC
web-Google,6,2,3029.91,850.94921875,0.0,ARC
web-Google,7,2,13772.0,854.984375,0.0,ARC
web-Google,4,3,81.85,1537.484375,0.0,ARC
web-Google,5,3,793.01,1594.74609375,0.0,ARC
web-Google,6,3,5828.0,1613.53515625,0.0,ARC
web-Google,5,4,740.76,5475.46484375,0.0,ARC
web-Google,6,4,4425.0,5299.74609375,0.0,ARC
web-Stanford,4,2,308.92,1006.84765625,0.0,ARC
web-Stanford,5,2,5905.0,1004.9765625,0.0,ARC
web-Stanford,4,3,218.46,1057.53515625,0.0,ARC
web-Stanford,5,3,5739.0,1376.79296875,0.0,ARC
web-Stanford,5,4,3121.02,10921.51171875,0.0,ARC
