dataset,s,r,tree_build_ms,prog_time_ms,num_leaves,clique_index_ms,max_rss_kb,exit_status,cmd,timestamp
/data1/wenqianz/com-dblp.edges,1,3,690.473,1008.0,479496.0,,1731720.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 3,2025-08-31 02:06:39
/data1/wenqianz/com-dblp.edges,1,4,662.786,604.0,247029.0,,959588.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 4,2025-08-31 02:06:42
/data1/wenqianz/com-dblp.edges,1,5,642.616,340.0,123565.0,,542364.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 5,2025-08-31 02:06:45
/data1/wenqianz/com-dblp.edges,1,6,635.896,208.0,66739.0,,348488.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 6,2025-08-31 02:06:46
/data1/wenqianz/com-dblp.edges,1,7,624.013,143.0,40000.0,,255948.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 7,2025-08-31 02:06:48
/data1/wenqianz/com-dblp.edges,1,8,622.48,106.0,26257.0,,207716.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 8,2025-08-31 02:06:50
/data1/wenqianz/com-dblp.edges,1,9,565.015,72.0,18537.0,,180220.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 9,2025-08-31 02:06:51
/data1/wenqianz/com-dblp.edges,1,10,496.023,61.0,13829.0,,163068.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 10,2025-08-31 02:06:52
/data1/wenqianz/com-dblp.edges,1,11,619.492,66.0,10730.0,,151660.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 11,2025-08-31 02:06:54
/data1/wenqianz/com-dblp.edges,1,12,507.04,49.0,8574.0,,143548.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 12,2025-08-31 02:06:55
/data1/wenqianz/com-dblp.edges,1,13,609.927,56.0,6995.0,,137304.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 13,2025-08-31 02:06:56
/data1/wenqianz/com-dblp.edges,1,14,615.517,53.0,5799.0,,133028.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 14,2025-08-31 02:06:58
/data1/wenqianz/com-dblp.edges,1,15,610.624,50.0,4895.0,,129368.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 15,2025-08-31 02:06:59
/data1/wenqianz/com-dblp.edges,1,16,612.673,49.0,4201.0,,127496.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 16,2025-08-31 02:07:00
/data1/wenqianz/com-dblp.edges,1,17,613.381,48.0,3654.0,,127048.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 17,2025-08-31 02:07:02
/data1/wenqianz/com-dblp.edges,1,18,609.734,47.0,3215.0,,126852.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 18,2025-08-31 02:07:03
/data1/wenqianz/com-dblp.edges,1,19,610.974,46.0,2844.0,,126508.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 19,2025-08-31 02:07:05
/data1/wenqianz/com-dblp.edges,1,20,583.209,38.0,2519.0,,126456.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 20,2025-08-31 02:07:06
/data1/wenqianz/com-dblp.edges,1,21,609.586,45.0,2230.0,,126076.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 21,2025-08-31 02:07:07
/data1/wenqianz/com-dblp.edges,1,22,615.621,45.0,1975.0,,125848.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 22,2025-08-31 02:07:09
/data1/wenqianz/com-dblp.edges,1,23,617.841,45.0,1754.0,,125532.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 23,2025-08-31 02:07:10
/data1/wenqianz/com-dblp.edges,1,24,611.127,44.0,1566.0,,125492.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 24,2025-08-31 02:07:12
/data1/wenqianz/com-dblp.edges,1,25,606.41,44.0,1395.0,,125228.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 25,2025-08-31 02:07:13
/data1/wenqianz/com-dblp.edges,1,26,610.202,44.0,1240.0,,125200.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 26,2025-08-31 02:07:14
/data1/wenqianz/com-dblp.edges,1,27,611.681,44.0,1100.0,,124896.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 27,2025-08-31 02:07:16
/data1/wenqianz/com-dblp.edges,1,28,607.731,43.0,975.0,,124884.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 28,2025-08-31 02:07:17
/data1/wenqianz/com-dblp.edges,1,29,611.94,43.0,866.0,,124892.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 29,2025-08-31 02:07:19
/data1/wenqianz/com-dblp.edges,1,30,608.695,43.0,769.0,,124832.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 30,2025-08-31 02:07:20
/data1/wenqianz/com-dblp.edges,2,4,660.151,1872.0,247029.0,,2614468.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 4,2025-08-31 02:07:21
/data1/wenqianz/com-dblp.edges,2,5,654.285,1224.0,123565.0,,1414348.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 5,2025-08-31 02:07:25
/data1/wenqianz/com-dblp.edges,2,6,630.569,858.0,66739.0,,855008.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 6,2025-08-31 02:07:28
/data1/wenqianz/com-dblp.edges,2,7,501.406,551.0,40000.0,,590664.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 7,2025-08-31 02:07:30
/data1/wenqianz/com-dblp.edges,2,8,511.48,444.0,26257.0,,453184.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 8,2025-08-31 02:07:32
/data1/wenqianz/com-dblp.edges,2,9,496.386,369.0,18537.0,,374648.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 9,2025-08-31 02:07:33
/data1/wenqianz/com-dblp.edges,2,10,500.376,333.0,13829.0,,326488.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 10,2025-08-31 02:07:35
/data1/wenqianz/com-dblp.edges,2,11,494.863,296.0,10730.0,,294196.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 11,2025-08-31 02:07:36
/data1/wenqianz/com-dblp.edges,2,12,611.907,333.0,8574.0,,271828.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 12,2025-08-31 02:07:38
/data1/wenqianz/com-dblp.edges,2,13,615.948,313.0,6995.0,,255004.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 2 13,2025-08-31 02:07:40
